โรงงาน,ที่มา,ละติจูด,_id,ปี,ลองติจูด,อำเภอ,ตำบล,รายการ,จังหวัด
บริษัท บี แอนด์ เอ็ม โกลด์ ฟรุ๊ต จำกัด ,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.195649464,1,2565,101.8204036,เจาะไอร้อง,บูกิต,โรงงานแปรรูปทุเรียน,นราธิวาส
หวานจิตอินเตอร์ฟู้ด,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.196413128,2,2565,101.8230777,เจาะไอร้อง,บูกิต,โรงงานแปรรูปทุเรียน,นราธิวาส
บริษัท ซัน โฟรเซ่น ฟรุ้ต จำกัด ,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.407043821,3,2565,101.7525848,ยี่งอ,ละหาร,โรงงานแปรรูปทุเรียน,นราธิวาส
บริษัท บี แอนด์ เอ็ม โกลด์ ฟรุ๊ต จำกัด ,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.195649464,4,2566,101.8204036,เจาะไอร้อง,บูกิต,โรงงานแปรรูปทุเรียน,นราธิวาส
หวานจิตอินเตอร์ฟู้ด,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.196413128,5,2566,101.8230777,เจาะไอร้อง,บูกิต,โรงงานแปรรูปทุเรียน,นราธิวาส
บริษัท ซัน โฟรเซ่น ฟรุ้ต จำกัด ,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.407043821,6,2566,101.7525848,ยี่งอ,ละหาร,โรงงานแปรรูปทุเรียน,นราธิวาส
บริษัท บี แอนด์ เอ็ม โกลด์ ฟรุ๊ต จำกัด ,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.195649464,7,2567,101.8204036,เจาะไอร้อง,บูกิต,โรงงานแปรรูปทุเรียน,นราธิวาส
หวานจิตอินเตอร์ฟู้ด,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.196413128,8,2567,101.8230777,เจาะไอร้อง,บูกิต,โรงงานแปรรูปทุเรียน,นราธิวาส
บริษัท ซัน โฟรเซ่น ฟรุ้ต จำกัด ,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.407043821,9,2567,101.7525848,ยี่งอ,ละหาร,โรงงานแปรรูปทุเรียน,นราธิวาส
บริษัท บี แอนด์ เอ็ม โกลด์ ฟรุ๊ต จำกัด ,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.195649464,10,2568,101.8204036,เจาะไอร้อง,บูกิต,โรงงานแปรรูปทุเรียน,นราธิวาส
หวานจิตอินเตอร์ฟู้ด,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.196413128,11,2568,101.8230777,เจาะไอร้อง,บูกิต,โรงงานแปรรูปทุเรียน,นราธิวาส
บริษัท ซัน โฟรเซ่น ฟรุ้ต จำกัด ,สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6.407043821,12,2568,101.7525848,ยี่งอ,ละหาร,โรงงานแปรรูปทุเรียน,นราธิวาส
