_id,ปี,เนื้อที่เก็บเกี่ยว,เนื้อที่เพาะปลูก
1,2561,1610,1610
2,2562,3550,3550
3,2563,3550,6319
4,2564,3229,3266
5,2565,4675,4820
6,2566,2285,2285
7,2567,2260,2260
