ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,หน่วย
100,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,1,2564,จังหวัดปทุมธานี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,2,2564,อำเภอเมืองปทุมธานี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,3,2564,อำเภอคลองหลวง,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,4,2564,อำเภอธัญบุรี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,5,2564,อำเภอหนองเสือ,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
19,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,6,2564,อำเภอลาดหลุมแก้ว,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
31,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,7,2564,อำเภอลำลูกกา,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
6,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,8,2564,อำเภอสามโคก,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
78,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,9,2565,จังหวัดปทุมธานี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,10,2565,อำเภอเมืองปทุมธานี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
35,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,11,2565,อำเภอคลองหลวง,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
5,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,12,2565,อำเภอธัญบุรี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,13,2565,อำเภอหนองเสือ,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
12,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,14,2565,อำเภอลาดหลุมแก้ว,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
13,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,15,2565,อำเภอลำลูกกา,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
11,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,16,2565,อำเภอสามโคก,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
104,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,17,2566,จังหวัดปทุมธานี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,18,2566,อำเภอเมืองปทุมธานี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
40,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,19,2566,อำเภอคลองหลวง,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,20,2566,อำเภอธัญบุรี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,21,2566,อำเภอหนองเสือ,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
16,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,22,2566,อำเภอลาดหลุมแก้ว,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
33,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,23,2566,อำเภอลำลูกกา,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,24,2566,อำเภอสามโคก,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
67,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,25,2567,จังหวัดปทุมธานี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,26,2567,อำเภอเมืองปทุมธานี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
25,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,27,2567,อำเภอคลองหลวง,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,28,2567,อำเภอธัญบุรี,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,29,2567,อำเภอหนองเสือ,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
9,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,30,2567,อำเภอลาดหลุมแก้ว,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
23,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,31,2567,อำเภอลำลูกกา,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,32,2567,อำเภอสามโคก,จำนวนโรงงานที่จดทะเบียนประกอบกิจการ,แห่ง
