จำนวนผู้เข้า,_id,กลุ่มเป้าหมาย,จำนวนผู้ผ่าน,จำนวนเป้าหมาย
314091,1,บุคคลทั่วไป,312418,336585
168831,2,อื่น ๆ โปรดระบุ,167576,157499
146632,3,นักเรียน นักศึกษา,146130,156490
84246,4,ผู้ประกอบอาชีพอิสระ วิสาหกิจชุมชน,85087,82743
36124,5,พนักงาน/ลูกจ้างภาคเอกชน,39448,36674
13728,6,บุคลากรภาครัฐ,15162,12922
9411,7,กลุ่มผู้สูงอายุ (อายุ 60 ปีขึ้นไป),9332,11299
6115,8,บุคลากรสถานศึกษา,5762,10727
4656,9,แรงงานใหม่,4601,5766
3176,10,กลุ่มคนพิการ,3076,3651
