จำนวน,ที่มา,_id,ปี,อำเภอ,หน่วย
8,สำนักงานเกษตรจังหวัดอ่างทอง,1,2561,เมืองอ่างทอง, ไร่ 
25,สำนักงานเกษตรจังหวัดอ่างทอง,2,2561,ไชโย, ไร่ 
58,สำนักงานเกษตรจังหวัดอ่างทอง,3,2561,ป่าโมก, ไร่ 
373.5,สำนักงานเกษตรจังหวัดอ่างทอง,4,2561,โพธิ์ทอง, ไร่ 
37,สำนักงานเกษตรจังหวัดอ่างทอง,5,2561,แสวงหา, ไร่ 
281,สำนักงานเกษตรจังหวัดอ่างทอง,6,2561,วิเศษชัยชาญ, ไร่ 
0,สำนักงานเกษตรจังหวัดอ่างทอง,7,2561,สามโก้, ไร่ 
87.5,สำนักงานเกษตรจังหวัดอ่างทอง,8,2562,เมืองอ่างทอง, ไร่ 
93.5,สำนักงานเกษตรจังหวัดอ่างทอง,9,2562,ไชโย, ไร่ 
71,สำนักงานเกษตรจังหวัดอ่างทอง,10,2562,ป่าโมก, ไร่ 
1788.5,สำนักงานเกษตรจังหวัดอ่างทอง,11,2562,โพธิ์ทอง, ไร่ 
97,สำนักงานเกษตรจังหวัดอ่างทอง,12,2562,แสวงหา, ไร่ 
1214,สำนักงานเกษตรจังหวัดอ่างทอง,13,2562,วิเศษชัยชาญ, ไร่ 
6,สำนักงานเกษตรจังหวัดอ่างทอง,14,2562,สามโก้, ไร่ 
177,สำนักงานเกษตรจังหวัดอ่างทอง,15,2563,เมืองอ่างทอง, ไร่ 
102,สำนักงานเกษตรจังหวัดอ่างทอง,16,2563,ไชโย, ไร่ 
87,สำนักงานเกษตรจังหวัดอ่างทอง,17,2563,ป่าโมก, ไร่ 
3345.5,สำนักงานเกษตรจังหวัดอ่างทอง,18,2563,โพธิ์ทอง, ไร่ 
132,สำนักงานเกษตรจังหวัดอ่างทอง,19,2563,แสวงหา, ไร่ 
851,สำนักงานเกษตรจังหวัดอ่างทอง,20,2563,วิเศษชัยชาญ, ไร่ 
22,สำนักงานเกษตรจังหวัดอ่างทอง,21,2563,สามโก้, ไร่ 
254,สำนักงานเกษตรจังหวัดอ่างทอง,22,2564,เมืองอ่างทอง, ไร่ 
102,สำนักงานเกษตรจังหวัดอ่างทอง,23,2564,ไชโย, ไร่ 
98,สำนักงานเกษตรจังหวัดอ่างทอง,24,2564,ป่าโมก, ไร่ 
4025,สำนักงานเกษตรจังหวัดอ่างทอง,25,2564,โพธิ์ทอง, ไร่ 
368,สำนักงานเกษตรจังหวัดอ่างทอง,26,2564,แสวงหา, ไร่ 
882.75,สำนักงานเกษตรจังหวัดอ่างทอง,27,2564,วิเศษชัยชาญ, ไร่ 
29.5,สำนักงานเกษตรจังหวัดอ่างทอง,28,2564,สามโก้, ไร่ 
278,สำนักงานเกษตรจังหวัดอ่างทอง,29,2565,เมืองอ่างทอง, ไร่ 
105,สำนักงานเกษตรจังหวัดอ่างทอง,30,2565,ไชโย, ไร่ 
171,สำนักงานเกษตรจังหวัดอ่างทอง,31,2565,ป่าโมก, ไร่ 
4262,สำนักงานเกษตรจังหวัดอ่างทอง,32,2565,โพธิ์ทอง, ไร่ 
360,สำนักงานเกษตรจังหวัดอ่างทอง,33,2565,แสวงหา, ไร่ 
847,สำนักงานเกษตรจังหวัดอ่างทอง,34,2565,วิเศษชัยชาญ, ไร่ 
64,สำนักงานเกษตรจังหวัดอ่างทอง,35,2565,สามโก้, ไร่ 
124,สำนักงานเกษตรจังหวัดอ่างทอง,36,2566,เมืองอ่างทอง, ไร่ 
20.75,สำนักงานเกษตรจังหวัดอ่างทอง,37,2566,ไชโย, ไร่ 
54,สำนักงานเกษตรจังหวัดอ่างทอง,38,2566,ป่าโมก, ไร่ 
1505,สำนักงานเกษตรจังหวัดอ่างทอง,39,2566,โพธิ์ทอง, ไร่ 
71,สำนักงานเกษตรจังหวัดอ่างทอง,40,2566,แสวงหา, ไร่ 
173.75,สำนักงานเกษตรจังหวัดอ่างทอง,41,2566,วิเศษชัยชาญ, ไร่ 
6,สำนักงานเกษตรจังหวัดอ่างทอง,42,2566,สามโก้, ไร่ 
129,สำนักงานเกษตรจังหวัดอ่างทอง,43,2567,เมืองอ่างทอง, ไร่ 
26.25,สำนักงานเกษตรจังหวัดอ่างทอง,44,2567,ไชโย, ไร่ 
49.5,สำนักงานเกษตรจังหวัดอ่างทอง,45,2567,ป่าโมก, ไร่ 
936,สำนักงานเกษตรจังหวัดอ่างทอง,46,2567,โพธิ์ทอง, ไร่ 
68,สำนักงานเกษตรจังหวัดอ่างทอง,47,2567,แสวงหา, ไร่ 
168.75,สำนักงานเกษตรจังหวัดอ่างทอง,48,2567,วิเศษชัยชาญ, ไร่ 
6,สำนักงานเกษตรจังหวัดอ่างทอง,49,2567,สามโก้, ไร่ 
