จำนวน,_id,ปี,ไตรมาส,กิจกรรม,หน่วย
1482383,1,2567,1,ผู้มีงานทำ,คน
"50,491",2,2567,1,เกษตรกรรม,คน
"631,952",3,2567,1,การผลิต,คน
"787,828",4,2567,1,การค้าและการบริการ,คน
"12,112",5,2567,1,ไม่ทราบ,คน
"1,508,226",6,2567,2,ผู้มีงานทำ,คน
"44,273",7,2567,2,เกษตรกรรม,คน
"657,741",8,2567,2,การผลิต,คน
"789,346",9,2567,2,การค้าและการบริการ,คน
"16,866",10,2567,2,ไม่ทราบ,คน
"1,495,886",11,2567,3,ผู้มีงานทำ,คน
"26,115",12,2567,3,เกษตรกรรม,คน
"698,341",13,2567,3,การผลิต,คน
"751,418",14,2567,3,การค้าและการบริการ,คน
"20,012",15,2567,3,ไม่ทราบ,คน
"1,481,496",16,2567,4,ผู้มีงานทำ,คน
"24,677",17,2567,4,เกษตรกรรม,คน
"718,070",18,2567,4,การผลิต,คน
"718,623",19,2567,4,การค้าและการบริการ,คน
"20,126",20,2567,4,ไม่ทราบ,คน
1508232,21,2568,1,ผู้มีงานทำ,คน
"86,531",22,2568,1,เกษตรกรรม,คน
"665,413",23,2568,1,การผลิต,คน
"733,519",24,2568,1,การค้าและการบริการ,คน
"22,769",25,2568,1,ไม่ทราบ,คน
"1,498,115",26,2568,2,ผู้มีงานทำ,คน
"89,625",27,2568,2,เกษตรกรรม,คน
"700,368",28,2568,2,การผลิต,คน
"683,987",29,2568,2,การค้าและการบริการ,คน
"24,135",30,2568,2,ไม่ทราบ,คน
"1,505,831",31,2568,3,ผู้มีงานทำ,คน
81989,32,2568,3,เกษตรกรรม,คน
"718,476",33,2568,3,การผลิต,คน
"653,712",34,2568,3,การค้าและการบริการ,คน
"51,654",35,2568,3,ไม่ทราบ,คน
