สาขา,วันเริ่ม,จังหวัด,วันสิ้นสุด,สถานที่ฝึก,_id,ยุทธศาสตร์,ชั่วโมง(รวม),รุ่นที่,กิจกรรม,รายการ,ตำบล,อำเภอ,ปีงบประมาณ,โครงการ
การซ่อมบำรุงรถยนต์ไฟฟ้า,2568-01-30T00:00:00,สุรินทร์,2568-02-02T00:00:00,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสานวิทยาเขตสุรินทร์ ตำบลนอกเมือง อำเภอเมือง จังหวัดสุรินทร์,25,ด้านการสร้างความสามารถในการแข่งขัน,30,2,พัฒนาศักยภาพอุตสาหกรรมยานยนต์สมัยใหม่,ยกระดับศูนย์ฝึกอบรมศักยภาพแรงงานรองรับมาตรฐานฝีมือแรงงานด้านอุตสาหกรรมยานยนต์ไฟฟ้า,นอกเมือง,เมือง,2568,โครงการพัฒนาศักยภาพอุตสาหกรรมยานยนต์สมัยใหม่
การใช้สมาร์ทโฟนเพื่อธุรกิจออนไลน์,2568-03-02T00:00:00,สุรินทร์,2568-07-02T00:00:00,วัดบ้านสำโรง หมู่ที่ 6 ตำบลขวาวใหญ่ อำเภอศีขรภูมิ จังหวัดสุรินทร์,26,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,2,ฝึกอบรมแรงงานกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ,แรงงานนอกระบบ,ขวาวใหญ่,ศีขรภูมิ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การใช้โปรแกรม Microsoft Excel,2568-08-02T00:00:00,สุรินทร์,2568-02-16T00:00:00,สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ 5 วิทยาลัยอาชีวศึกษาสุรินทร์ อ.เมืองสุรินทร์ จ.สุรินทร์,27,บูรณาการหน่วยงานภาครัฐและเอกชน,32,8,โครงการบูรณาการภาครัฐและเอกชน,โครงการบูรณาการภาครัฐและเอกชน,,เมืองสุรินทร์,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
ภาษาเกาหลีสำหรับผู้ที่จะเดินทางหรือทำงานในต่างประเทศ ระดับ 1,2568-12-02T00:00:00,สุรินทร์,2568-02-16T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 2 ตำบลนอกเมือง อำเภอเมือง จังหวัดสุรินทร์,28,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,นอกเมือง,เมือง,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การติดตั้งและบำรุงรักษาระบบเซลล์แสงอาทิตย์,2568-02-14T00:00:00,สุรินทร์,2568-02-18T00:00:00,อาคารฝึกอบรมองค์การบริหารส่วนตำบลแนงมุด อำเภอกาบเชิง จังหวัดสุรินทร์,29,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,7,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,แนงมุด,กาบเชิง,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การทำผลิตภัณฑ์สมุนไพรเพื่อสุขภาพและความงาม,2568-02-17T00:00:00,สุรินทร์,2568-02-21T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 อำเภอสังขะ จังหวัดสุรินทร์,30,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,3,พัฒนาทักษะแรงงานรองรับนโยบาย Soft Power,ฝึกอบรมทักษะฝีมือ หลักสูตรระยะสั้น 30 ชั่วโมง,,สังขะ,2568,โครงการพัฒนาทักษะแรงงงานรองรับนโยบาย Soft Power
ผู้ฝึกสอนมวยไทย ระดับ 1,2568-02-17T00:00:00,สุรินทร์,2568-02-21T00:00:00,ค่ายมวยครูวอร์มมวยไทย อาคารธนารัตน์ปัทมา ชั้น 4 ตำบลในเมือง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์,31,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,4,พัฒนาทักษะแรงงานรองรับนโยบาย Soft Power,ฝึกอบรมทักษะฝีมือ หลักสูตรระยะสั้น 30 ชั่วโมง,ในเมือง,เมืองสุรินทร์,2568,โครงการพัฒนาทักษะแรงงงานรองรับนโยบาย Soft Power
ภาษาอังกฤษเพื่อการสื่อสารสำหรับพนักงานโรงแรม,2568-02-21T00:00:00,สุรินทร์,2568-05-03T00:00:00,โรงแรมทองธารินทร์ ตำบลในเมือง อำเภอเมือง จังหวัดสุรินทร์,32,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,2,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ในเมือง,เมือง,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การใช้ Microsoft AI Skills for Everyone,2568-02-24T00:00:00,สุรินทร์,2568-02-24T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,33,บูรณาการหน่วยงานภาครัฐและเอกชน,3,1,โครงการบูรณาการความร่วมมือกับบริษัท ไมโครซอฟท์ (ประเทศไทย) จำกัด,หลักสูตรการใช้ Microsoft AI for Everyone ,บ้านชบ,สังขะ,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
ภาษาอังกฤษเพื่อการสื่อสารสำหรับพนักงานโรงแรม,2568-02-24T00:00:00,สุรินทร์,2568-02-28T00:00:00,วิทยาลัยการอาชีพปราสาท ต.ปรือ อ.ปราสาท จ.สุรินทร์,34,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,3,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ปรือ,ปราสาท,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
