สาขา,วันเริ่ม,จังหวัด,วันสิ้นสุด,สถานที่ฝึก,_id,ยุทธศาสตร์,ชั่วโมง(รวม),รุ่นที่,กิจกรรม,รายการ,ตำบล,อำเภอ,ปีงบประมาณ,โครงการ
ภาษากัมพูชาเพื่อการสื่อสาร,2568-02-03T00:00:00,สุรินทร์,2568-03-30T00:00:00,บริษัทสุรินทร์เฟอร์นิเจอร์ จำกัด 313 ม.6 ต.นอกเมือง อ.เมือง จ.สุรินทร์,35,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,4,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,นอกเมือง,เมือง,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การติดตั้งและการประยุกต์ใช้โซล่าเซลล์,2568-03-03T00:00:00,สุรินทร์,2568-07-03T00:00:00,เรือนจำชั่วคราวโคกตาบัน ต.นอกเมือง อ.เมืองสุรินทร์ จ.สุรินทร์,36,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ฝึกอบรมแรงงานกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ,ผู้ต้องขัง เยาวชนในสถานพินิจ,นอกเมือง,เมืองสุรินทร์,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การติดตั้งและทดสอบสถานีอัดประจุไฟฟ้า,2568-04-03T00:00:00,สุรินทร์,2568-07-03T00:00:00,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน วิทยาเขตสุรินทร์ ต.นอกเมือง เ.เมืองสุรินทร์ จ.สุรินทร์,37,ด้านการสร้างความสามารถในการแข่งขัน,30,2,พัฒนาศักยภาพอุตสาหกรรมยานยนต์สมัยใหม่,ยกระดับศูนย์ฝึกอบรมศักยภาพแรงงานรองรับมาตรฐานฝีมือแรงงานด้านอุตสาหกรรมยานยนต์ไฟฟ้า,นอกเมือง,เมืองสุรินทร์,2568,โครงการพัฒนาศักยภาพอุตสาหกรรมยานยนต์สมัยใหม่
การเพิ่มมูลค่าสินค้าเกษตรด้วยการแปรรูป,2568-10-03T00:00:00,สุรินทร์,2568-03-14T00:00:00,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน วิทยาเขตสุรินทร์ ต.นอกเมือง อ.เมือง จ.สุรินทร์,38,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,8,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,นอกเมือง,เมือง,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ช่างไฟฟ้าภายในอาคาร,2568-12-03T00:00:00,สุรินทร์,2568-03-14T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 2 ตำบลนอกเมือง อำเภอเมือง จังหวัดสุรินทร์,39,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,18,2,ยกระดับแรงงานไทยให้ได้มาตรฐานฝีมือแรงงานเพื่อรองรับการแข่งขัน,พัฒนาศักยภาพแรงงานเพื่อรองรับการจ่ายค่าจ้างตามมาตรฐานฝีมือ,นอกเมือง,เมือง,2568,โครงการพัฒนาศักยภาพแรงงานเพื่อรองรับการจ่ายค่าจ้างตามมาตรฐานฝีมือแรงงาน
การติดตั้งและการประยุกต์ใช้โซล่าเซลล์,2568-03-17T00:00:00,สุรินทร์,2568-03-21T00:00:00,กองร้อยตำรวจตระเวนชายแดนที่ 217 เลขที่ 475 ต.กังแอน อ.ปราสาท จ.สุรินทร์,40,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,พัฒนาทักษะและส่งเสริมอาชีพเพื่อสร้างความมั่นคงทางเศรษฐกิจของประชาชน,การฝึกอบรมกลุ่มตำรวจตระเวนชายแดน,กังแอน,ปราสาท,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ภาษาอังกฤษเพื่อการสื่อสารสำหรับพนักงานโรงแรม,2568-03-17T00:00:00,สุรินทร์,2568-03-21T00:00:00,วิทยาลัยเทคนิครัตนบุรี ต.รัตนบุรี อ.รัตนบุรี จ.สุรินทร์,41,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,5,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,รัตนบุรี,รัตนบุรี,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การติดตั้งและการประยุกต์ใช้โซล่าเซลล์,2568-03-24T00:00:00,สุรินทร์,2568-03-28T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,42,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,2,พัฒนาทักษะและส่งเสริมอาชีพเพื่อสร้างความมั่นคงทางเศรษฐกิจของประชาชน,การฝึกอบรมกลุ่มตำรวจตระเวนชายแดน,บ้านชบ,สังขะ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
เทคโนโลยีพลังงานแสงอาทิตย์ รองรับเกษตรอัจฉริยะ,2568-01-04T00:00:00,สุรินทร์จังหวัดสุรินทร์,2568-05-04T00:00:00,อาคาร 36 ชั้น 4 คณะเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยราชภัฏสุรินทร์ จังหวัดสุรินทร์จังหวัดสุรินทร์,43,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ยกระดับเพื่อเพิ่มศักยภาพฝีมือและสมรรถนะแรงงานรองรับการเปลี่ยนแปลงเทคโนโลยี,ยกระดับเพื่อเพิ่มศักยภาพฝีมือและสมรรถนะแรงงานรองรับการเปลี่ยนแปลงเทคโนโลยี,,,2568,โครงการพลิกโฉมผลิตภาพแรงงานไทย
ภาษาอังกฤษเพื่อการทำงาน,2568-07-04T00:00:00,สุรินทร์,2568-11-04T00:00:00,ห้องประชุม บริษัท นอร์ทอีสวอเตอร์ (ประเทศไทย) จำกัด ต.สลักได อ.เมือง จ.สุรินทร์,44,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,6,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,สลักได,เมือง,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การใช้ Microsoft AI Skills for Everyone,2568-10-04T00:00:00,สุรินทร์,2568-10-04T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,45,บูรณาการหน่วยงานภาครัฐและเอกชน,3,2,โครงการบูรณาการความร่วมมือกับบริษัท ไมโครซอฟท์ (ประเทศไทย) จำกัด,หลักสูตรการใช้ Microsoft AI for Everyone ,บ้านชบ,สังขะ,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
การใช้ Microsoft AI Skills for Everyone,2568-04-17T00:00:00,สุรินทร์,2568-04-17T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,46,บูรณาการหน่วยงานภาครัฐและเอกชน,3,3,โครงการบูรณาการความร่วมมือกับบริษัท ไมโครซอฟท์ (ประเทศไทย) จำกัด,หลักสูตรการใช้ Microsoft AI for Everyone ,บ้านชบ,สังขะ,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
ช่างซ่อมและบำรุงรักษารถจักรยานยนต์,2568-04-23T00:00:00,สุรินทร์,2568-06-24T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,47,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,420,1,เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,บ้านชบ,สังขะ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ช่างเชื่อมอาร์กโลหะด้วยมือ,2568-04-23T00:00:00,สุรินทร์,2568-06-24T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,48,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,420,1,เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,บ้านชบ,สังขะ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ช่างเดินสายไฟฟ้าในอาคาร,2568-04-23T00:00:00,สุรินทร์,2568-06-24T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,49,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,420,1,เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,บ้านชบ,สังขะ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การใช้ Microsoft AI Skills for Everyone,2568-04-24T00:00:00,สุรินทร์,2568-04-24T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,50,บูรณาการหน่วยงานภาครัฐและเอกชน,3,4,โครงการบูรณาการความร่วมมือกับบริษัท ไมโครซอฟท์ (ประเทศไทย) จำกัด,หลักสูตรการใช้ Microsoft AI for Everyone ,บ้านชบ,สังขะ,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
ช่างเดินสายไฟฟ้าในอาคาร,2568-01-05T00:00:00,สุรินทร์,2568-02-07T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,51,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,420,2,เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,บ้านชบ,สังขะ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ภาษากัมพูชาเพื่อการสื่อสาร,2568-04-05T00:00:00,สุรินทร์,2568-01-06T00:00:00,บริษัท ไอดีโฮม 2015 จำกัด 198 ม.4 ต.ปราสาท จ.สุรินทร์,52,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,7,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ปราสาท,,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การใช้ Microsoft AI Skills for Everyone,2568-08-05T00:00:00,สุรินทร์,2568-08-05T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,53,บูรณาการหน่วยงานภาครัฐและเอกชน,3,5,โครงการบูรณาการความร่วมมือกับบริษัท ไมโครซอฟท์ (ประเทศไทย) จำกัด,หลักสูตรการใช้ Microsoft AI for Everyone ,บ้านชบ,สังขะ,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
