ค่าข้อมูล,ที่มา,_id,ปี,ประเภท/ชนิดโรงงาน,รายการ,จังหวัด,หน่วย
43,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
14,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,การขุดหรือลอกกรวด ทราย หรือดิน,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,การร่อนหรือคัดกรวดหรือทราย,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
28,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,การดูดทราย,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
528,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,การฆ่าสัตว์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
20,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
34,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,การทำนมสดให้ไร้เชื้อ หรือฆ่าเชื้อ โดยวิธีการใดวิธีการหนึ่ง เช่น การพาสเจอร์ไรส์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
37,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,การทำอาหารจากสัตว์น้ำและบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
230,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,การสี ฝัด หรือขัดข้าว,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
391,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,การทำแป้ง,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
175,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
316,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
95,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,การทำน้ำดื่ม,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
69,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2566,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
100,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2566,โรงงานถักผ้า ผ้าลูกไม้ หรือเครื่องนุ่งห่มด้วยด้ายหรือเส้นใย หรือฟอกย้อมสี หรือแต่งสำเร็จผ้า,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
1020,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2566,การผลิตเชือก,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
103,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2566,การผลิต ประกอบ หรือซ่อมแซมตาข่าย แห หรืออวน และรวมถึงชิ้นส่วนอุปกรณ์ของผลิตภัณฑ์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
15,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2566,การทำแผ่นเส้นใยที่แช่หรือฉาบผิวหน้าด้วยวัสดุซึ่งมิใช่ยาง,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
55,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,19,2566,การทำวัสดุจากเส้นใยสำหรับใช้ทำเบาะ นวม หรือสิ่งที่คล้ายคลึงกัน,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
638,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,20,2566,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย ปลอกแขน ถุงมือ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,21,2566,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
192,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,22,2566,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
21,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,23,2566,การทำฝอยไม้ การบด ป่น หรือย่อยไม้,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
