_id,ลำดับ,อำเภอ,คนงาน,จำนวนโรงงาน
1,1,เมืองนครพนม,"1,098",77
2,2,ปลาปาก,106,13
3,3,ท่าอุเทน,"1,171",52
4,4,บ้านแพง,540,20
5,5,ธาตุพนม,325,24
6,6,เรณูนคร,141,5
7,7,นาแก,209,22
8,8,ศรีสงคราม,191,13
9,9,นาหว้า,60,7
10,10,โพนสวรรค์,62,11
11,11,นาทม,80,2
12,12,วังยาง,30,1
13,รวม,,"41,013",247
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
