ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
480,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,1,2557,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,105",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,2,2557,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
286,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,3,2557,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
76,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,4,2557,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
394,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,5,2557,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
868,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,6,2557,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
323,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,7,2557,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
485,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,8,2558,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,126",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,9,2558,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
279,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,10,2558,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
89,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,11,2558,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
426,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,12,2558,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
894,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,13,2558,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
333,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,14,2558,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
481,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,15,2559,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,168",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,16,2559,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
290,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,17,2559,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
90,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,18,2559,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
451,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,19,2559,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
935,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,20,2559,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
342,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,21,2559,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
487,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,22,2560,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,192",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,23,2560,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
293,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,24,2560,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
92,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,25,2560,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
470,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,26,2560,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
973,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,27,2560,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
355,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,28,2560,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
480,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,29,2561,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,217",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,30,2561,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
298,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,31,2561,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
93,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,32,2561,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
489,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,33,2561,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,016",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,34,2561,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
360,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,35,2561,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
371,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,36,2562,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
