รายการชุดข้อมูล,จำนวน,_id,ปี,ชื่อโรงงาน,อำเภอ,จังหวัด,หน่วย
ปริมาณอ้อยคุณภาพสูง,1031352.58,16,2565,ท่ามะกา,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,776303.03,17,2566,ท่ามะกา,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,744126.44,18,2567,ท่ามะกา,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,848421.6,19,2568,ท่ามะกา,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,1048187.4,20,2569,ท่ามะกา,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,1292340.64,21,2565,นิวกรุงไทย (บ่อพลอย),บ่อพลอย,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,1351295.17,22,2566,นิวกรุงไทย (บ่อพลอย),บ่อพลอย,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,1196892.16,23,2567,นิวกรุงไทย (บ่อพลอย),บ่อพลอย,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,1368413.22,24,2568,นิวกรุงไทย (บ่อพลอย),บ่อพลอย,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,1813751.45,25,2569,นิวกรุงไทย (บ่อพลอย),บ่อพลอย,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,908049.99,26,2565,ไทยกาญจนบุรี,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,738920.41,27,2566,ไทยกาญจนบุรี,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,727879.99,28,2567,ไทยกาญจนบุรี,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,763402.05,29,2568,ไทยกาญจนบุรี,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,821475.68,30,2569,ไทยกาญจนบุรี,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,834095.03,31,2565,มิตรเกษตร,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,731380.86,32,2566,มิตรเกษตร,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,704065.03,33,2567,มิตรเกษตร,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,702746.39,34,2568,มิตรเกษตร,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,805885.87,35,2569,มิตรเกษตร,ท่ามะกา,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,845837.93,36,2565,ราชบุรี (สาขากาญจนบุรี),เมืองกาญจนบุรี,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,693291.64,37,2566,ราชบุรี (สาขากาญจนบุรี),เมืองกาญจนบุรี,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,522543.39,38,2567,ราชบุรี (สาขากาญจนบุรี),เมืองกาญจนบุรี,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,673492.48,39,2568,ราชบุรี (สาขากาญจนบุรี),เมืองกาญจนบุรี,กาญจนบุรี,ตัน
ปริมาณอ้อยคุณภาพสูง,941593.55,40,2569,ราชบุรี (สาขากาญจนบุรี),เมืองกาญจนบุรี,กาญจนบุรี,ตัน
