จำนวน,ที่มา,_id,ปี,หน่วยนับ,จังหวัด
186,ที่ทำการปกครองจังหวัดพิจิตร,1,2561,แห่ง,พิจิตร
220,ที่ทำการปกครองจังหวัดพิจิตร,2,2562,แห่ง,พิจิตร
222,ที่ทำการปกครองจังหวัดพิจิตร,3,2563,แห่ง,พิจิตร
204,ที่ทำการปกครองจังหวัดพิจิตร,4,2564,แห่ง,พิจิตร
200,ที่ทำการปกครองจังหวัดพิจิตร,5,2565,แห่ง,พิจิตร
204,ที่ทำการปกครองจังหวัดพิจิตร,6,2566,แห่ง,พิจิตร
223,ที่ทำการปกครองจังหวัดพิจิตร,7,2567,แห่ง,พิจิตร
266,ที่ทำการปกครองจังหวัดพิจิตร,8,2569,แห่ง,พิจิตร
