_id,ค่าข้อมูล,ปี,หน่วย,ประเภท,จังหวัด,รายการ
1,293,2562,โรงงาน,จำนวนโรงงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
2,"383,514",2562,แรงม้า,แรงม้าอนุญาต,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
3,"15,354.77",2562,ล้านบาท,เงินทุนรวม,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
4,"6,531",2562,คน,คนงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
5,328,2563,โรงงาน,จำนวนโรงงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
6,"392,896",2563,แรงม้า,แรงม้าอนุญาต,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
7,"16,115.01",2563,ล้านบาท,เงินทุนรวม,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
8,"7,061",2563,คน,คนงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
9,361,2564,โรงงาน,จำนวนโรงงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
10,"402,676",2564,แรงม้า,แรงม้าอนุญาต,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
11,"16,438.20",2564,ล้านบาท,เงินทุนรวม,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
12,"7,401",2564,คน,คนงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
13,384,2565,โรงงาน,จำนวนโรงงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
14,"414,410",2565,แรงม้า,แรงม้าอนุญาต,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
15,"16,782.88",2565,ล้านบาท,เงินทุนรวม,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
16,"7,546",2565,คน,คนงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
17,405,2566,โรงงาน,จำนวนโรงงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
18,"423,646",2566,แรงม้า,แรงม้าอนุญาต,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
19,"17,228.20",2566,ล้านบาท,เงินทุนรวม,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
20,"7,710",2566,คน,คนงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
21,418,2567,โรงงาน,จำนวนโรงงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
22,"507,440",2567,แรงม้า,แรงม้าอนุญาต,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
23,"29,548.32",2567,ล้านบาท,เงินทุนรวม,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
24,"8,242",2567,คน,คนงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
25,428,2568,โรงงาน,จำนวนโรงงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
26,"512,748",2568,แรงม้า,แรงม้าอนุญาต,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
27,"30,154.41",2568,ล้านบาท,เงินทุนรวม,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
28,"8,400",2568,คน,คนงาน,ร้อยเอ็ด,จำนวนโรงงานที่ได้รับอนุญาต
