ที่มา,ชนิดพืช,_id,ปี,ผลผลิตเฉลี่ย,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,1,2561," 1,478.82 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,2,2561," 1,709.88 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,3,2561," 3,585.31 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,4,2561," 1,634.90 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,5,2561," 8,444.56 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,6,2561," 1,559.61 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,7,2561, 137.25 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,8,2561," 1,570.37 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,9,2561," 1,661.08 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,10,2561," 1,066.32 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,11,2561, 177.68 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,12,2562," 1,313.34 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,13,2562," 2,390.96 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,14,2562," 2,562.53 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,15,2562, 997.26 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,16,2562," 15,560.98 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,17,2562, 643.65 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,18,2562, 187.48 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,19,2562," 1,566.04 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,20,2562," 1,260.12 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,21,2562," 1,180.55 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,22,2562, 177.16 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,23,2563," 2,011.23 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,24,2563," 3,372.12 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,25,2563," 3,004.54 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,26,2563," 2,328.15 ", กิโลกรัมต่อไร่ 
