เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,ตำบล,อำเภอ,ผู้ประกอบการ
"4,700,000",14,14,บริษัท ดีกรี คอนสตรัคชั่น แอนด์ เซอร์วิส จำกัด,บด หรือป่น ย่อยส่วนต่างๆ ของพืชที่ไม่ใช่เมล็ดพืชหรือหัวพืช สำหรับเป็นเชื้อเพลิงเพื่อจำหน่าย,บัวเงิน,น้ำพอง,บริษัท ดีกรี คอนสตรัคชั่น แอนด์ เซอร์วิส จำกัด
"72,420,000",15,15,บริษัท มอนซานโต้ ไทยแลนด์ จำกัด,คัด แยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม เช่น เมล็ดมะเขือเทศ เมล็ดพริก เมล็ดแคนตาลูป,บ้านเป็ด,เมืองขอนแก่น,บริษัท มอนซานโต้ ไทยแลนด์ จำกัด
"13,000,000",16,16,บริษัท เอ.จี.ยูนิเวอร์แซล จำกัด,คัดแยกและบรรจุเมล็ดพืชเพื่อการส่งออก,บ้านค้อ,เมืองขอนแก่น,บริษัท เอ.จี.ยูนิเวอร์แซล จำกัด
"20,000,000",17,17,บริษัท ข้าวบัวทิพย์ โปรดิวส์ จำกัด,"ขัด,คัดแยกขนาดหรือคุณภาพข้าวสาร",บึงเนียม,เมืองขอนแก่น,บริษัท ข้าวบัวทิพย์ โปรดิวส์ จำกัด
"8,960,000",18,18,บริษัท คิงส์ วิช จำกัด,คัดขนาด ตัดแต่ง บรรจุภาชนะพืชผักผลไม้และห้องเย็น,บ้านทุ่ม,เมืองขอนแก่น,บริษัท คิงส์ วิช จำกัด
"45,000,000",19,19,บริษัท โรงสีข้าว ป.ณัฐตพล จำกัด,คัดแยก ปรับปรุงคุณภาพข้าวสาร,เก่างิ้ว,พล,บริษัท โรงสีข้าว ป.ณัฐตพล จำกัด
"38,000,000",20,20,บริษัท เอี่ยมพิทักษ์ จำกัด,คัดแยกคุณภาพข้าวสาร,หินตั้ง,บ้านไผ่,บริษัท เอี่ยมพิทักษ์ จำกัด
"75,688,334",21,21,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,คัดขนาดและบรรจุไข่,หนองเรือ,หนองเรือ,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด
"23,100,000",22,22,บริษัท ซีนเมล็ดพันธุ์ จำกัด,ผลิตและส่งออกเมล็ดพันธุ์พืช,ในเมือง,เมืองขอนแก่น,บริษัท ซีนเมล็ดพันธุ์ จำกัด
"10,100,000",23,23,บริษัท ซีนเมล็ดพันธุ์ จำกัด,ผลิตและส่งออกเมล็ดพันธุ์พืช,ในเมือง,เมืองขอนแก่น,บริษัท ซีนเมล็ดพันธุ์ จำกัด
"25,350,000",24,24,บริษัท มอนซานโต้ ไทยแลนด์ จำกัด,คัดแยกเมล็ดพันธุ์,โนนท่อน,เมืองขอนแก่น,บริษัท มอนซานโต้ ไทยแลนด์ จำกัด
"114,400,000",25,25,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),คัดแยกขนาดไข่,หนองบัว,บ้านฝาง,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน)
"7,160,000",26,26,บริษัท ออไรซาเวิลด์ จำกัด,คัดแยกเมล็ดพันธุ์ข้าว,บ้านค้อ,เมืองขอนแก่น,บริษัท ออไรซาเวิลด์ จำกัด
"61,000,000",27,27,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),คัดแยกขนาดไข่ไก่,หนองเสาเล้า,ชุมแพ,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน)
"2,780,000",28,28,บริษัท โรงสีรุ่งอนันต์ จำกัด,สีข้าว,หนองมะเขือ,พล,บริษัท โรงสีรุ่งอนันต์ จำกัด
"70,000,000",29,29,บริษัท เอี่ยมพิทักษ์ จำกัด,สีข้าวชนิดแยกแกลบแยกรำกำลังสีสูงสุดของร้านสีข้าว150 เกวียน/วัน,หินตั้ง,บ้านไผ่,บริษัท เอี่ยมพิทักษ์ จำกัด
"23,600,000",30,30,บริษัท ชัยมงคลรุ่งเรืองการเกษตร จำกัด,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 120 เกวียน/วัน,พระลับ,เมืองขอนแก่น,บริษัท ชัยมงคลรุ่งเรืองการเกษตร จำกัด
"54,000,000",31,31,ห้างหุ้นส่วนจำกัด โรงสีกระนวน,สีข้าวชนิดแยกแกลบแยกรำและปรับปรุงคุณภาพข้าว,หนองโก,กระนวน,ห้างหุ้นส่วนจำกัด โรงสีกระนวน
"2,700,000",32,32,เรืองศิริ,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 60 เกวียน/วัน),บ้านไผ่,บ้านไผ่,นางสาวณัฐนันท์ เรืองชัยจตุพร
"14,000,000",33,33,บริษัท โรงสีไฟบุญแสงไทย จำกัด,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 50 เกวียน/วัน,บ้านไผ่,บ้านไผ่,บริษัท โรงสีไฟบุญแสงไทย จำกัด
"42,000,000",34,34,บริษัท โรงสีไฟสหชัยชุมแพ จำกัด,สีข้าว,หนองไผ่,ชุมแพ,บริษัท โรงสีไฟสหชัยชุมแพ จำกัด
"4,150,000",35,35,ห้างหุ้นส่วนจำกัด โรงสีข้าวเมืองพลเสริมสวัสดิ์,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 70 เกวียน/วัน,เมืองพล,พล,ห้างหุ้นส่วนจำกัด โรงสีข้าวเมืองพลเสริมสวัสดิ์
"30,000,000",36,36,บริษัท โรงสีเลียงฮงไชย จำกัด,สีข้าวชนิดแยกแกลบแยกรำ(กำลังสีสูงสุดของร้านสีข้าว150เกวียน/วัน),แคนเหนือ,บ้านไผ่,บริษัท โรงสีเลียงฮงไชย จำกัด
"400,000",37,37,บริษัท โรงสีมีชัย จำกัด,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 170 เกวียน/วัน,หนองไผ่,ชุมแพ,บริษัท โรงสีมีชัย จำกัด
"345,000,000",38,38,บริษัท แก่นเจริญ จำกัด,ทำแป้งจากมันสำปะหลัง และผลิตก๊าซชีวภาพ,ห้วยยาง,กระนวน,บริษัท แก่นเจริญ จำกัด
"60,000,000",39,39,บริษัท ขอนแก่นสตาร์ช จำกัด,ผลิตแป้งมันสำปะหลัง กำลังการผลิต 200 ตันแป้ง/วัน,น้ำพอง,น้ำพอง,นายเทพฤทธิ์ ศรีปัญญา
"365,000,000",40,40,บริษัท ไพร์ม สตาร์ช อินดัสทรี จำกัด,ผลิตแป้งมันสำปะหลัง ผลิตแป้งมันสำปะหลังแปรรูป ผลิตสารให้ความหวานทดแทนน้ำตาล ,ดงเมืองแอม,เขาสวนกวาง,บริษัท ไพร์ม สตาร์ช อินดัสทรี จำกัด
"274,000,000",41,41,บริษัท แก่นศิริ สตาร์ช จำกัด,ผลิตและจำหน่ายแป้งมันสำปะหลัง,ขามป้อม,พระยืน,ห้างหุ้นส่วนจำกัด แก่นศิริสตาร์ช
"4,180,000",42,42,บริษัท แก่นเจริญ จำกัด,ทำมันเส้น ได้เดือนละ 168 ตัน,หัวนาคำ,กระนวน,บริษัท แก่นเจริญ จำกัด
"267,000",43,43,-,ทำมันเส้น,โนนศิลา,โนนศิลา,นายภิญโญ ไทยทองสุขสกุล
"945,000",44,44,-,ทำมันเส้น ขยายโดยเพิ่มเครื่องจักรขึ้นอีก 78 แรงม้า,แคนเหนือ,บ้านไผ่,นายวิเชษฐ์ วิทยาวรากุล
"5,000,000",45,45,โรงสีข้าวยอดดอย,สีข้าว กำลังสีสูงสุด 40 ตัน/วัน,บ้านโนน,ซำสูง,ห้างหุ้นส่วนจำกัด วัสดุปรับปรุงดินยอดดอย
