_id,ปี,มูลค่า (บาท),อำเภอ,พื้นที่เสียหาย (ไร่)
1,2564,0,เมืองอุทัยธานี,0
2,2564,9363404,ทัพทัน,1537
3,2564,51446940,สว่างอารมณ์,8445
4,2564,633568,หนองฉาง,104
5,2564,0,หนองขาหย่าง,0
6,2564,0,บ้านไร่,0
7,2564,0,ลานสัก,0
8,2564,0,ห้วยคต,0
9,2566,0,เมืองอุทัยธานี,0
10,2566,25231478,ทัพทัน,9833
11,2566,53565250,สว่างอารมณ์,20875
12,2566,0,หนองฉาง,0
13,2566,0,หนองขาหย่าง,0
14,2566,1673673.5,บ้านไร่,652.25
15,2566,53626192.5,ลานสัก,20898.75
16,2566,975080,ห้วยคต,380
