ประเภท,ที่มา,_id,ปี,อำเภอ,ตำบล,รายการ,จังหวัด
กล้วย ลองกอง ทุเรียน,สำนักงานสภาเกษตรจังหวัดยะลา,1,2566,เมือง,บันนังสาเรง,กลุ่มทายาทเลี้ยงโคบ้านบันนังสาเรง เปลี่ยนชื่อเป็น วิสาหกิจชุมชนกลุ่มทายาทเกษตรหมู่บ้านตาราแดะ,ยะลา
ทุเรียน,สำนักงานสภาเกษตรจังหวัดยะลา,2,2566,เบตง,ธารน้ำทิพย์,กลุ่มทุเรียนแปลงใหญ่ ใต้สุดแดนสยาม,ยะลา
ทุเรียน,สำนักงานสภาเกษตรจังหวัดยะลา,3,2566,บันนังสตา,ตลิ่งชัน,กลุ่มเกษตรอุตสาหกรรมไอร์ตือปุ ลีจิง,ยะลา
ทุเรียน,สำนักงานสภาเกษตรจังหวัดยะลา,4,2566,บันนังสตา,ตลิ่งชัน,กลุ่มผลไม้แปรรูปการเกษตรทุเรียน(บ้านยีลาปัน),ยะลา
ทุเรียน ลองกอง,สำนักงานสภาเกษตรจังหวัดยะลา,5,2566,บันนังสตา,บันนังสตา,ศูนย์คัดแยกผลไม้ชุมชนตำบลบันนังสตา,ยะลา
ทุเรียน ลองกอง,สำนักงานสภาเกษตรจังหวัดยะลา,6,2566,ธารโต,บ้านแหร,กลุ่มรวบรวมไม้ผลจาเราะบาตู(ทุเรียน.ลองกอง.กล้วยหิน),ยะลา
"ทุเรียน,กล้วยฉาบ,มะพร้าว",สำนักงานสภาเกษตรจังหวัดยะลา,7,2566,กรงปินัง,กรงปินัง,กลุ่มทำการแปรรูปผลผลิตตามฤดูกาล,ยะลา
"มังคุด,ทุเรียน",สำนักงานสภาเกษตรจังหวัดยะลา,8,2566,เบตง,ธารน้ำทิพย์,กลุ่มวิสาหกิจชุมชนกลุ่มมังคุดและทุเรียนอินทรี ,ยะลา
กล้วย ลองกอง ทุเรียน,สำนักงานสภาเกษตรจังหวัดยะลา,9,2567,เมือง,บันนังสาเรง,กลุ่มทายาทเลี้ยงโคบ้านบันนังสาเรง เปลี่ยนชื่อเป็น วิสาหกิจชุมชนกลุ่มทายาทเกษตรหมู่บ้านตาราแดะ,ยะลา
ทุเรียน,สำนักงานสภาเกษตรจังหวัดยะลา,10,2567,เบตง,ธารน้ำทิพย์,กลุ่มทุเรียนแปลงใหญ่ ใต้สุดแดนสยาม,ยะลา
ทุเรียน,สำนักงานสภาเกษตรจังหวัดยะลา,11,2567,บันนังสตา,ตลิ่งชัน,กลุ่มเกษตรอุตสาหกรรมไอร์ตือปุ ลีจิง,ยะลา
ทุเรียน,สำนักงานสภาเกษตรจังหวัดยะลา,12,2567,บันนังสตา,ตลิ่งชัน,กลุ่มผลไม้แปรรูปการเกษตรทุเรียน(บ้านยีลาปัน),ยะลา
ทุเรียน ลองกอง,สำนักงานสภาเกษตรจังหวัดยะลา,13,2567,บันนังสตา,บันนังสตา,ศูนย์คัดแยกผลไม้ชุมชนตำบลบันนังสตา,ยะลา
ทุเรียน ลองกอง,สำนักงานสภาเกษตรจังหวัดยะลา,14,2567,ธารโต,บ้านแหร,กลุ่มรวบรวมไม้ผลจาเราะบาตู(ทุเรียน.ลองกอง.กล้วยหิน),ยะลา
"ทุเรียน,กล้วยฉาบ,มะพร้าว",สำนักงานสภาเกษตรจังหวัดยะลา,15,2567,กรงปินัง,กรงปินัง,กลุ่มทำการแปรรูปผลผลิตตามฤดูกาล,ยะลา
ผลไม้,สำนักงานสภาเกษตรจังหวัดยะลา,16,2567,เบตง,เบตง,กลุ่มเกษตรกรทำสวนผลไม้ เบตง,ยะลา
"มังคุด,ทุเรียน",สำนักงานสภาเกษตรจังหวัดยะลา,17,2567,เบตง,ธารน้ำทิพย์,กลุ่มวิสาหกิจชุมชนกลุ่มมังคุดและทุเรียนอินทรี ,ยะลา
