จำนวน,_id,ปี,แหล่งที่มา,รายการ,จังหวัด,หน่วย
2.1,1,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรายปี,หนองบัวลำภู,ร้อยละ
1.2,2,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรายปี,หนองบัวลำภู,ร้อยละ
1.7,3,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรายปี,หนองบัวลำภู,ร้อยละ
0.8,4,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรายปี,หนองบัวลำภู,ร้อยละ
1.5,5,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรายปี,หนองบัวลำภู,ร้อยละ
0.0,6,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรายปี,หนองบัวลำภู,ร้อยละ
