_id,ปี,ผลผลิตเฉลี่ยต่อไร่,จังหวัด
1,2560,11.64,มหาสารคาม
2,2561,10.86,มหาสารคาม
3,2562,7.02,มหาสารคาม
4,2563,7.82,มหาสารคาม
5,2564,10.56,มหาสารคาม
6,2565,9.5,มหาสารคาม
7,2566,8.7,มหาสารคาม
