ประเภท,ชื่อ มอก. ภาษาไทย,_id,ลำดับ,ชื่อโรงงาน,ที่อยู่โรงงาน,เลข มอก.,ทะเบียนโรงงาน,เลขที่ใบอนุญาต,วันที่ออกใบอนุญาต,เลขภาษี,จังหวัด,ผู้รับใบอนุญาต
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,1,1,บริษัท ทีพีซีเอส จำกัด (มหาชน),624/5-8 ถนนสุขาภิบาล 8 หมู่11 ซอย- ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี,2424-2562,100200600125342,4227-1/2424,2021-01-21T00:00:00,107537001447,ชลบุรี,บริษัท ทีพีซีเอส จำกัด (มหาชน)
แสดง,หน้ากากใช้ครั้งเดียวชนิด N95 ลดความเสี่ยงการติดเชื้อทางการแพทย์,2,2,บริษัท มารีอา โปรดักส์ จำกัด,9999 ถนน หมู่9 ซอย ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ,2480-2562,-,4922-1/2480,2021-06-04T00:00:00,115549012102,สมุทรปราการ,บริษัท มารีอา โปรดักส์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,3,3,บริษัท เมดิเชน จำกัด,444 ถนน หมู่6 ซอย ตำบลพังขว้าง อำเภอเมืองสกลนคร จังหวัดสกลนคร,2424-2562,-,5000-2/2424,2021-06-15T00:00:00,475560000295,สกลนคร,บริษัท เมดิเชน จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,4,4,บริษัท เบฟเทค จำกัด,68/2 ถนน หมู่2 ซอย ตำบลน้ำเต้า อำเภอบางบาล จังหวัดพระนครศรีอยุธยา,2424-2562,,5522-7/2424,2021-11-03T00:00:00,105559187126,พระนครศรีอยุธยา,บริษัท เบฟเทค จำกัด
แสดง,หน้ากากใช้ครั้งเดียวชนิด N95 ลดความเสี่ยงการติดเชื้อทางการแพทย์,5,5,บริษัท ทีพีซีเอส จำกัด (มหาชน),600/49 หมู่ที่11 ตรอก/ซอย- ถนนสุขาภิบาล 8 ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี,2480-2562,20200300725563,5650-2/2480,2021-12-20T00:00:00,107537001447,ชลบุรี,บริษัท ทีพีซีเอส จำกัด (มหาชน)
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,6,6,ห้างหุ้นส่วนจำกัด ธวัชแมชชีนเทค,228 หมู่10 ตำบลบ้านกลาง อำเภอเมืองลำพูน จังหวัดลำพูน,2424-2562,,5788-10/2424,2022-02-09T00:00:00,513548000482,ลำพูน,ห้างหุ้นส่วนจำกัด ธวัชแมชชีนเทค
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,7,7,บริษัท ดี.เอ. แพ็คเกจจิ้ง จำกัด,2/1 หมู่2 ตำบลท่าตูม อำเภอศรีมหาโพธิ จังหวัดปราจีนบุรี,2424-2562,20250097625633,5807-12/2424,2022-02-17T00:00:00,255550000430,ปราจีนบุรี,บริษัท ดี.เอ. แพ็คเกจจิ้ง จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,8,8,บริษัท เอ็มเมอรัลด์ นอนวูเว่น อินเตอร์เนชั่นแนล จำกัด,"88,88/1 หมู่2 ซอย- ถนน- ตำบลหนองชุมพลเหนือ อำเภอเขาย้อย จังหวัดเพชรบุรี",2424-2562,20760000425574,5903-17/2424,2022-03-21T00:00:00,735544000844,เพชรบุรี,บริษัท เอ็มเมอรัลด์ นอนวูเว่น อินเตอร์เนชั่นแนล จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,9,9,บริษัท เมด-คอน (ประเทศไทย) จำกัด,47 หมู่5 ถนนบางกรวย-ไทรน้อย ตำบลไทรน้อย อำเภอไทรน้อย จังหวัดนนทบุรี,2424-2562,20121700125453,5971-22/2424,2022-04-20T00:00:00,105536057463,นนทบุรี,บริษัท เมด-คอน (ประเทศไทย) จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,10,10,บริษัท ไทยฮอสพิทอลโปรดักส์ จำกัด,"45/2,45/3 หมู่2 ซอยวัดกู้ ถนนสุขาประชาสรรค์ 2 ตำบลบางพูด อำเภอปากเกร็ด จังหวัดนนทบุรี",2424-2562,20120300125368,6101-24/2424,2022-06-30T00:00:00,105537103116,นนทบุรี,บริษัท ไทยฮอสพิทอล โปรดักส์ จำกัด
