วันที่อนุมัติ,_id,ปี,ลำดับ,ชื่อโรงงาน,ประเภทคำขอ,ประกอบกิจการ,เลขที่ใบรับรอง,อำเภอ,ตำบล,หน่วยงาน,หน่วย
"24
ส.ค
2565",1,2567,1,บริษัท พิทักษ์ปาล์มออยล์ จำกัด,ขอรับการรับรองระดับที่ 1,สกัดน้ำมันปาล์มและผลิตไฟฟ้าจากก๊าซชีวภาพเพื่อส่งและจำหน่ายและสกัดน้ำมันเมล็ดในปาล์ม,"GI(E) 1-
17879/2565
",สิเกา,กะลาเส,สำนักงานอุตสาหกรรมจังหวัดตรัง,ระดับ
"10
ส.ค
2565",2,2567,2,บริษัท เอส.พี.โอ. อะโกร จำกัด,ขอรับการรับรองระดับที่ 1,สกัดน้ำมันปาล์มและผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพและพลังงานชีวมวลเพื่อจำหน่าย,GI(E) 1-13390/2565,สิเกา,กะลาเส,สำนักงานอุตสาหกรรมจังหวัดตรัง,ระดับ
"29
มิ.ย
2565",3,2567,3,บริษัท ล่ำสูง (ประเทศไทย) จำกัด มหาชน,ขอรับการรับรองระดับที่ 3,สกัดน้ำมันปาล์ม,GI(E) 3-315/2565 ,สิเกา,กะลาเส,สำนักงานอุตสาหกรรมจังหวัดตรัง,ระดับ
"24
ส.ค
2565",4,2567,4,บริษัท ตรังน้ำมันปาล์ม จำกัด,ขอรับการรับรองระดับที่ 1,สกัดน้ำมันปาล์ม,GI(E) 1-13362/2565,สิเกา,นาเมืองเพชร,สำนักงานอุตสาหกรรมจังหวัดตรัง,ระดับ
