จำนวน,_id,ปี,ประเภท
28,90,2566,รถโดยสารประจำทาง
170,91,2562,รถโดยสารไม่ประจำทาง
168,92,2563,รถโดยสารไม่ประจำทาง
196,93,2564,รถโดยสารไม่ประจำทาง
287,94,2565,รถโดยสารไม่ประจำทาง
218,95,2566,รถโดยสารไม่ประจำทาง
33,96,2562,รถโดยสารส่วนบุคคล
15,97,2563,รถโดยสารส่วนบุคคล
14,98,2564,รถโดยสารส่วนบุคคล
14,99,2565,รถโดยสารส่วนบุคคล
16,100,2566,รถโดยสารส่วนบุคคล
1313,101,2562,รถบรรทุกไม่ประจำทาง
1085,102,2563,รถบรรทุกไม่ประจำทาง
1200,103,2564,รถบรรทุกไม่ประจำทาง
1437,104,2565,รถบรรทุกไม่ประจำทาง
1344,105,2566,รถบรรทุกไม่ประจำทาง
547,106,2562,รถบรรทุกส่วนบุคคล
466,107,2563,รถบรรทุกส่วนบุคคล
525,108,2564,รถบรรทุกส่วนบุคคล
541,109,2565,รถบรรทุกส่วนบุคคล
579,110,2566,รถบรรทุกส่วนบุคคล
