_id,ปี,สปก.อุตสาหกรรม,ประเภทอุตสาหกรรม
1,2564,24,ผลิตภัณฑ์จากพืช
2,2564,48,อุตสาหกรรมอาหาร
3,2564,1,อุตสาหกรรมเครื่องดื่ม
4,2564,15,สิ่งทอ
5,2564,2,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า
6,2564,1,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์
7,2564,21,แปรรูปไม้และผลิตภัณฑ์จากไม้
8,2564,6,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น
9,2564,5,ผลิตกระดาษและผลิตภัณฑ์กระดาษ
10,2564,2,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์
11,2564,14,เคมีภัณฑ์และผลิตภัณฑ์เคมี
12,2564,13,ผลิตภัณฑ์จากปิโตรเลียม
13,2564,3,ยางและผลิตภัณฑ์ยาง
14,2564,30,ผลิตภัณฑ์พลาสติก
15,2564,39,ผลิตภัณฑ์อโลหะ
16,2564,22,ผลิตภัณฑ์โลหะขั้นมูลฐาน
17,2564,40,ผลิตภัณฑ์โลหะ
18,2564,9,ผลิตภัณฑ์เครื่องจักร และเครื่องกล
19,2564,10,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์
20,2564,45,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์
21,2564,174,การผลิตอื่น ๆ
22,2565,22,ผลิตภัณฑ์จากพืช
23,2565,50,อุตสาหกรรมอาหาร
24,2565,2,อุตสาหกรรมเครื่องดื่ม
25,2565,16,สิ่งทอ
26,2565,3,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า
27,2565,1,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์
28,2565,22,แปรรูปไม้และผลิตภัณฑ์จากไม้
29,2565,5,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น
30,2565,7,ผลิตกระดาษและผลิตภัณฑ์กระดาษ
31,2565,2,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์
32,2565,15,เคมีภัณฑ์และผลิตภัณฑ์เคมี
33,2565,14,ผลิตภัณฑ์จากปิโตรเลียม
34,2565,3,ยางและผลิตภัณฑ์ยาง
35,2565,32,ผลิตภัณฑ์พลาสติก
36,2565,38,ผลิตภัณฑ์อโลหะ
37,2565,22,ผลิตภัณฑ์โลหะขั้นมูลฐาน
38,2565,42,ผลิตภัณฑ์โลหะ
39,2565,10,ผลิตภัณฑ์เครื่องจักร และเครื่องกล
40,2565,9,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์
41,2565,45,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์
42,2565,175,การผลิตอื่น ๆ
43,2566,22,ผลิตภัณฑ์จากพืช
44,2566,50,อุตสาหกรรมอาหาร
45,2566,2,อุตสาหกรรมเครื่องดื่ม
46,2566,16,สิ่งทอ
47,2566,3,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า
48,2566,1,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์
49,2566,22,แปรรูปไม้และผลิตภัณฑ์จากไม้
50,2566,5,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น
51,2566,7,ผลิตกระดาษและผลิตภัณฑ์กระดาษ
52,2566,2,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์
53,2566,15,เคมีภัณฑ์และผลิตภัณฑ์เคมี
54,2566,14,ผลิตภัณฑ์จากปิโตรเลียม
55,2566,3,ยางและผลิตภัณฑ์ยาง
56,2566,32,ผลิตภัณฑ์พลาสติก
57,2566,38,ผลิตภัณฑ์อโลหะ
58,2566,22,ผลิตภัณฑ์โลหะขั้นมูลฐาน
59,2566,42,ผลิตภัณฑ์โลหะ
60,2566,10,ผลิตภัณฑ์เครื่องจักร และเครื่องกล
61,2566,9,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์
62,2566,45,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์
63,2566,175,การผลิตอื่น ๆ
