เดือน,จำนวน,ที่มา,_id,ปี,หน่วย,รายการ,จังหวัด,ประเภทกิจการ
มกราคม,186000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,1,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายปลีก ขายส่ง
มกราคม,1132000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,2,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายส่งไม้แปรรูป
มกราคม,1192000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,3,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายวัสดุก่อสร้าง
มกราคม,672000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,4,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถยนต์และอุปกรณ์
มกราคม,435000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,5,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถจักรยานยนต์
มกราคม,75000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,6,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายเครื่องมือ เครื่องใช้
มกราคม,86000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,7,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายทอง
มกราคม,4731000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,8,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,รับเหมาก่อสร้าง
มกราคม,114000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,9,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงแรมท่องเที่ยว
มกราคม,16000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,10,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,กิจการร้านถ่ายรูป
มกราคม,438000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,11,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,สถานบริการน้ำมัน
มกราคม,118000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,12,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ซ่อมรถจักรยานยนต์
มกราคม,178000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,13,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,เหมืองหิน
มกราคม,109000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,14,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงเลื่อย
มกราคม,12000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,15,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงงานผลิตขนมปัง
มกราคม,200000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,16,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงผลิตน้ำแข็ง
มกราคม,298000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,17,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ผลิตคอนกรีต
กุมภาพันธ์,230000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,18,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายปลีก ขายส่ง
กุมภาพันธ์,1012000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,19,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายส่งไม้แปรรูป
กุมภาพันธ์,1283000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,20,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายวัสดุก่อสร้าง
กุมภาพันธ์,238000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,21,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถยนต์และอุปกรณ์
กุมภาพันธ์,1068000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,22,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถจักรยานยนต์
กุมภาพันธ์,103000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,23,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายเครื่องมือ เครื่องใช้
กุมภาพันธ์,112000,สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,24,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายทอง
