ที่มา,เกษตรกร (ครัวเรือน),ชนิดพืช,_id,ปีการผลิต,อำเภอ,พื้นที่ (ไร่)
สำนักงานเกษตรจังหวัดลพบุรี," 4,253 ",ข้าวนาปี,1,59/60,เมืองลพบุรี," 94,554 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,802 ",ข้าวนาปี,2,59/60,พัฒนานิคม," 31,002 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,308 ",ข้าวนาปี,3,59/60,โคกสำโรง," 114,904 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,583 ",ข้าวนาปี,4,59/60,ชัยบาดาล," 18,946 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,702 ",ข้าวนาปี,5,59/60,ท่าวุ้ง," 81,574 "
สำนักงานเกษตรจังหวัดลพบุรี," 7,041 ",ข้าวนาปี,6,59/60,บ้านหมี่," 207,714 "
สำนักงานเกษตรจังหวัดลพบุรี, 6 ,ข้าวนาปี,7,59/60,ท่าหลวง, 59 
สำนักงานเกษตรจังหวัดลพบุรี," 2,083 ",ข้าวนาปี,8,59/60,สระโบสถ์," 35,844 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,790 ",ข้าวนาปี,9,59/60,โคกเจริญ," 29,810 "
สำนักงานเกษตรจังหวัดลพบุรี, 975 ,ข้าวนาปี,10,59/60,ลำสนธิ," 9,264 "
สำนักงานเกษตรจังหวัดลพบุรี, 807 ,ข้าวนาปี,11,59/60,หนองม่วง," 14,554 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,474 ",ข้าวนาปรัง,12,59/60,เมืองลพบุรี," 59,955 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,13,59/60,พัฒนานิคม, -   
สำนักงานเกษตรจังหวัดลพบุรี, 80 ,ข้าวนาปรัง,14,59/60,โคกสำโรง," 1,343 "
สำนักงานเกษตรจังหวัดลพบุรี, 157 ,ข้าวนาปรัง,15,59/60,ชัยบาดาล," 2,463 "
