จำนวน,_id,ปี,รายการ,หน่วย
483393,1,2561,จำนวนผู้มีงานทำ,คน
492668,2,2562,จำนวนผู้มีงานทำ,คน
464592,3,2563,จำนวนผู้มีงานทำ,คน
465277,4,2564,จำนวนผู้มีงานทำ,คน
500063,5,2565,จำนวนผู้มีงานทำ,คน
510603,6,2566,จำนวนผู้มีงานทำ,คน
493265,7,2567,จำนวนผู้มีงานทำ,คน
467823.89,8,2568,จำนวนผู้มีงานทำ,คน
