วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2570-12-17T00:00:00,1,GI(E) 4-006,บริษัท วอล์คเกอร์ เอ็กซอสท์ (ประเทศไทย) จำกัด,1,2567-12-18T00:00:00,ชลบุรี
2570-12-17T00:00:00,2,GI(E) 4-008,บริษัท แชฟฟ์เลอร์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,2,2567-12-18T00:00:00,ชลบุรี
2570-12-17T00:00:00,3,GI(E) 4-011,บริษัท คอบร้า อินเตอร์เนชั่นแนล จำกัด,3,2567-12-18T00:00:00,ชลบุรี
2570-12-17T00:00:00,4,GI(E) 4-016,บริษัท มิตซูบิชิ เอลเลเวเตอร์ เอเซีย จำกัด,4,2567-12-18T00:00:00,ชลบุรี
2571-04-27T00:00:00,5,GI(E) 4-033,บริษัท อูซูอิ อินเตอร์เนชั่นแนล คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,5,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,6,GI(E) 4-036,บริษัท กรีน เมทัลส์ (ประเทศไทย) จำกัด,6,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,7,GI(E) 4-037,บริษัท ไทยผลิตภัณฑ์ยิบซั่ม จำกัด (มหาชน),7,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,8,GI(E) 4-044,บริษัท สยามคูโบต้าคอร์ปอเรชั่น จำกัด,8,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,9,GI(E) 4-046,บริษัท ฮีดากา ซูซูโทกุ (ประเทศไทย) จำกัด,9,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,10,GI(E) 4-047,บริษัท มิตซูบิชิ มอเตอร์ส (ประเทศไทย) จำกัด,10,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,11,GI(E) 4-048,บริษัท มิตซูบิชิ มอเตอร์ส (ประเทศไทย) จำกัด,11,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,12,GI(E) 4-049,บริษัท มิตซูบิชิ มอเตอร์ส (ประเทศไทย) จำกัด,12,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,13,GI(E) 4-050,บริษัท อูซูอิ อินเตอร์เนชั่นแนล คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,13,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,14,GI(E) 4-051,บริษัท เอ็มเอ็มทีเอช เอ็นจิ้น จำกัด,14,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,15,GI(E) 4-052,บริษัท เอ็มเอ็มทีเอช เอ็นจิ้น จำกัด,15,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,16,GI(E) 4-053,บริษัท เอ็มเอ็มทีเอช เอ็นจิ้น จำกัด,16,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,17,GI(E) 4-055,บริษัท ฮีดากา ซูซูโทกุ (ประเทศไทย) จำกัด,17,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,18,GI(E) 4-058,บริษัท มิตซูบิชิ อีเล็คทริค คอนซูมเมอร์ โปรดักส์ (ประเทศไทย) จำกัด,18,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,19,GI(E) 4-067,บริษัท มิตซูบิชิ อีเล็คทริค คอนซูมเมอร์ โปรดักส์ (ประเทศไทย) จำกัด,19,2568-04-28T00:00:00,ชลบุรี
2571-04-27T00:00:00,20,GI(E) 4-077,บริษัท ฮิตาชิ แอสเตโม ชลบุรี พาวเวอร์เทรน จำกัด,20,2568-04-28T00:00:00,ชลบุรี
2571-05-25T00:00:00,21,GI(E) 4-085,บริษัท สยาม สตีล มิลล์ เซอร์วิสเซส จำกัด,21,2568-05-26T00:00:00,ชลบุรี
2571-05-25T00:00:00,22,GI(E) 4-088,บริษัท ไทยอีสเทิร์น ไบโอ พาวเวอร์ จำกัด (มหาชน),22,2568-05-26T00:00:00,ชลบุรี
2571-05-25T00:00:00,23,GI(E) 4-089,บริษัท ไลอ้อน (ประเทศไทย) จำกัด,23,2568-05-26T00:00:00,ชลบุรี
2571-04-08T00:00:00,24,GI(E) 4-110,บริษัท ส.กนกการจัดการสิ่งแวดล้อม จำกัด,24,2568-05-08T00:00:00,ชลบุรี
2571-04-08T00:00:00,25,GI(E) 4-111,บริษัท นิเทระ (ประเทศไทย) จำกัด,25,2568-05-08T00:00:00,ชลบุรี
2571-04-08T00:00:00,26,GI(E) 4-120,บริษัท จี เจ สตีล จำกัด (มหาชน),26,2568-05-08T00:00:00,ชลบุรี
