จำนวน,_id,เพศ,อำเภอ
168647,1,ชาย,เมืองชลบุรี
181988,2,หญิง,เมืองชลบุรี
54356,3,ชาย,บ้านบึง
57493,4,หญิง,บ้านบึง
12082,5,ชาย,หนองใหญ่
11904,6,หญิง,หนองใหญ่
151393,7,ชาย,บางละมุง
178307,8,หญิง,บางละมุง
43855,9,ชาย,พานทอง
46029,10,หญิง,พานทอง
60944,11,ชาย,พนัสนิคม
65357,12,หญิง,พนัสนิคม
170714,13,ชาย,ศรีราชา
181058,14,หญิง,ศรีราชา
83506,15,ชาย,สัตหีบ
72548,16,หญิง,สัตหีบ
22896,17,ชาย,บ่อทอง
22841,18,หญิง,บ่อทอง
21663,19,ชาย,เกาะจันทร์
18417,20,หญิง,เกาะจันทร์
2298,21,ชาย,เกาะสีชัง
2380,22,หญิง,เกาะสีชัง
