คำอธิบาย,_id,ประเภทข้อมูล,ชื่อ
รหัส,1,numeric,id
แสดงลำดับของข้อมูล,2,numeric,ลำดับที่
แสดงชื่อสารคดี,3,text,ชื่อสารคดี
แสดงรายละเอียดของสารคดี,4,text,คำบรรยาย
แสดงเวลาที่ออกอากาศ,5,date,เวลา
แสดงวันที่ออกอากาศ,6,date,วันที่ออกอากาศ
แสดง Link ที่มาของสารคดี,7,text,URL
