﻿year,sex,quarter,_id,region,value,unit,age_group,source
2567,2. หญิง,ไตรมาส 1,35,4) ภาคตะวันออกเฉียงเหนือ,5.46,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,36,4) ภาคตะวันออกเฉียงเหนือ,2.31,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,37,4) ภาคตะวันออกเฉียงเหนือ,4.58,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,38,4) ภาคตะวันออกเฉียงเหนือ,6.27,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,39,4) ภาคตะวันออกเฉียงเหนือ,2.62,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,40,4) ภาคตะวันออกเฉียงเหนือ,2.6,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,41,4) ภาคตะวันออกเฉียงเหนือ,6.51,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,42,5) ภาคใต้,1.26,ร้อยละ,Total,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,43,5) ภาคใต้,74.05,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,44,5) ภาคใต้,12.25,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,45,5) ภาคใต้,8.6,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,46,5) ภาคใต้,10.47,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,47,5) ภาคใต้,8.91,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,48,5) ภาคใต้,4.97,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,49,5) ภาคใต้,6.61,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,50,5) ภาคใต้,15.93,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,51,5) ภาคใต้,1.48,ร้อยละ,Total,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,52,5) ภาคใต้,154.53,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,53,5) ภาคใต้,14.76,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,54,5) ภาคใต้,7.69,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,55,5) ภาคใต้,10.3,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,56,5) ภาคใต้,10.82,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,57,5) ภาคใต้,5.88,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,58,5) ภาคใต้,8.76,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,59,5) ภาคใต้,16.91,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,60,ทั่วราชอาณาจักร,15.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,61,ทั่วราชอาณาจักร,20.7,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,62,ทั่วราชอาณาจักร,13.1,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,63,ทั่วราชอาณาจักร,10.8,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,64,ทั่วราชอาณาจักร,11.4,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,65,ทั่วราชอาณาจักร,11.6,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,66,ทั่วราชอาณาจักร,13.2,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,67,ทั่วราชอาณาจักร,18.5,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,68,ทั่วราชอาณาจักร,28.9,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,69,ทั่วราชอาณาจักร,15.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,70,ทั่วราชอาณาจักร,22.2,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,71,ทั่วราชอาณาจักร,14.1,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,72,ทั่วราชอาณาจักร,11.9,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,73,ทั่วราชอาณาจักร,11.7,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,74,ทั่วราชอาณาจักร,11.6,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,75,ทั่วราชอาณาจักร,12.4,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,76,ทั่วราชอาณาจักร,16.4,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,77,ทั่วราชอาณาจักร,28.2,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,78,ทั่วราชอาณาจักร,16.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,79,ทั่วราชอาณาจักร,17.6,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,80,ทั่วราชอาณาจักร,11.8,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,81,ทั่วราชอาณาจักร,9.6,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,82,ทั่วราชอาณาจักร,11.0,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,83,ทั่วราชอาณาจักร,11.5,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,84,ทั่วราชอาณาจักร,14.0,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,85,ทั่วราชอาณาจักร,21.0,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,86,ทั่วราชอาณาจักร,29.8,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
