_id,ปี,ที่มา,จำนวน,อำเภอ,หน่วย,จังหวัด,รายการ
1,2562,สำนักงานเกษตรจังหวัดยะลา,58,เมืองยะลา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
2,2562,สำนักงานเกษตรจังหวัดยะลา,64,เบตง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
3,2562,สำนักงานเกษตรจังหวัดยะลา,51,บันนังสตา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
4,2562,สำนักงานเกษตรจังหวัดยะลา,54,ธารโต,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
5,2562,สำนักงานเกษตรจังหวัดยะลา,61,ยะหา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
6,2562,สำนักงานเกษตรจังหวัดยะลา,54,รามัน,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
7,2562,สำนักงานเกษตรจังหวัดยะลา,58,กาบัง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
8,2562,สำนักงานเกษตรจังหวัดยะลา,58,กรงปินัง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
9,2563,สำนักงานเกษตรจังหวัดยะลา,58,เมืองยะลา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
10,2563,สำนักงานเกษตรจังหวัดยะลา,64,เบตง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
11,2563,สำนักงานเกษตรจังหวัดยะลา,51,บันนังสตา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
12,2563,สำนักงานเกษตรจังหวัดยะลา,54,ธารโต,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
13,2563,สำนักงานเกษตรจังหวัดยะลา,61,ยะหา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
14,2563,สำนักงานเกษตรจังหวัดยะลา,54,รามัน,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
15,2563,สำนักงานเกษตรจังหวัดยะลา,58,กาบัง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
16,2563,สำนักงานเกษตรจังหวัดยะลา,58,กรงปินัง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
17,2564,สำนักงานเกษตรจังหวัดยะลา,45,เมืองยะลา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
18,2564,สำนักงานเกษตรจังหวัดยะลา,43,เบตง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
19,2564,สำนักงานเกษตรจังหวัดยะลา,245,บันนังสตา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
20,2564,สำนักงานเกษตรจังหวัดยะลา,49,ธารโต,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
21,2564,สำนักงานเกษตรจังหวัดยะลา,56,ยะหา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
22,2564,สำนักงานเกษตรจังหวัดยะลา,54,รามัน,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
23,2564,สำนักงานเกษตรจังหวัดยะลา,35,กาบัง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
24,2564,สำนักงานเกษตรจังหวัดยะลา,43,กรงปินัง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
25,2565,สำนักงานเกษตรจังหวัดยะลา,75,เมืองยะลา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
26,2565,สำนักงานเกษตรจังหวัดยะลา,173.71,เบตง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
27,2565,สำนักงานเกษตรจังหวัดยะลา,61.25,บันนังสตา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
28,2565,สำนักงานเกษตรจังหวัดยะลา,93,ธารโต,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
29,2565,สำนักงานเกษตรจังหวัดยะลา,68,ยะหา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
30,2565,สำนักงานเกษตรจังหวัดยะลา,50.39,รามัน,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
31,2565,สำนักงานเกษตรจังหวัดยะลา,70,กาบัง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
32,2565,สำนักงานเกษตรจังหวัดยะลา,47,กรงปินัง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
33,2566,สำนักงานเกษตรจังหวัดยะลา,75,เมืองยะลา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
34,2566,สำนักงานเกษตรจังหวัดยะลา,100.51,เบตง,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
35,2566,สำนักงานเกษตรจังหวัดยะลา,61.25,บันนังสตา,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
36,2566,สำนักงานเกษตรจังหวัดยะลา,65,ธารโต,บาทต่อกิโลกรัม,ยะลา,ราคาผลผลิตเฉลี่ย
