OCCUPATION,VALUE,SOURCE,_id,UNIT,YEAR
ผู้บริหารระดับสูง ข้าราชการอาวุโส และผู้บัญญัติกฎหมาย,28592,สำนักงานสถิติแห่งชาติ,1,คน,2557
ผู้จัดการด้านการบริหารจัดการและการพาณิชย์,48731,สำนักงานสถิติแห่งชาติ,2,คน,2557
ผู้จัดการด้านการผลิตและการบริการเฉพาะอย่าง,108231,สำนักงานสถิติแห่งชาติ,3,คน,2557
ผู้จัดการโรงแรม การค้า และการบริการอื่นๆ ที่เกี่ยวข้อง,47751,สำนักงานสถิติแห่งชาติ,4,คน,2557
ผู้ประกอบวิชาชีพด้านการออกแบบผลิตภัณฑ์ เครื่องแต่งกาย ภาพกราฟฟิกและสื่อผสม,25642,สำนักงานสถิติแห่งชาติ,5,คน,2557
ผู้ประกอบวิชาชีพด้านการสอน,101244,สำนักงานสถิติแห่งชาติ,6,คน,2557
ผู้ประกอบวิชาชีพด้านธุรกิจและการบริหาร,25082,สำนักงานสถิติแห่งชาติ,7,คน,2557
ผู้ประกอบวิชาชีพด้านกฎหมาย สังคม และวัฒนธรรม,18594,สำนักงานสถิติแห่งชาติ,8,คน,2557
ผู้ประกอบวิชาชีพอื่น ที่เกี่ยวข้องกับด้านสุขภาพ,5347,สำนักงานสถิติแห่งชาติ,9,คน,2557
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับธุรกิจและการบริหาร,83213,สำนักงานสถิติแห่งชาติ,10,คน,2557
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับกฎหมาย สังคม วัฒนธรรม และด้านอื่นๆที่เกี่ยวข้อง (ไม่รวมช่างถ่ายภาพ),24702,สำนักงานสถิติแห่งชาติ,11,คน,2557
เสมียนทั่วไปและพนักงานใช้อุปกรณ์ที่มีแผงพิมพ์,86488,สำนักงานสถิติแห่งชาติ,12,คน,2557
เสมียนด้านการให้บริการลูกค้า,29335,สำนักงานสถิติแห่งชาติ,13,คน,2557
เสมียนบันทึกรายการตัวเลข วัสดุ และสินค้า,59430,สำนักงานสถิติแห่งชาติ,14,คน,2557
เสมียนอื่นๆ,17377,สำนักงานสถิติแห่งชาติ,15,คน,2557
พนักงานบริการส่วนบุคคล,58896,สำนักงานสถิติแห่งชาติ,16,คน,2557
ผู้จำหน่ายสินค้า,332767,สำนักงานสถิติแห่งชาติ,17,คน,2557
ผู้ปฎิบัติงานดูแลส่วนบุคคล,13268,สำนักงานสถิติแห่งชาติ,18,คน,2557
ผู้ให้บริการด้านการป้องกันภัย,35497,สำนักงานสถิติแห่งชาติ,19,คน,2557
ผู้ปฎิบัติงานที่มีฝีมือด้านการเกษตร ประมง ล่าสัตว์ และเก็บพืชผลเพื่อการดำรงชีพ,12695,สำนักงานสถิติแห่งชาติ,20,คน,2557
ช่างงานหัตถกรรมและงานพิมพ์,15875,สำนักงานสถิติแห่งชาติ,21,คน,2557
ผู้แปรรูปอาหาร งานไม้ เครื่องแต่งกาย และผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวม ผู้ปฏิบัติงานด้านวัตถุระเบิด ปฏิบัติงานใต้น้ำ ทดสอบผลิตภัณฑ์ที่ไม่ใช่อาหารและเครื่องดื่ม ผู้รมยาและกำจัดแมลง),44943,สำนักงานสถิติแห่งชาติ,22,คน,2557
ผู้ขับยานยนต์และผู้ควบคุมเครื่องจักรโรงงานชนิดเคลื่อนที่ได้,129805,สำนักงานสถิติแห่งชาติ,23,คน,2557
คนงานและผู้ช่วยทำความสะอาด,15753,สำนักงานสถิติแห่งชาติ,24,คน,2557
คนงานด้านเกษตร ประมง และป่าไม้,9721,สำนักงานสถิติแห่งชาติ,25,คน,2557
คนงานเหมืองแร่ การก่อสร้าง การผลิต และการขนส่ง,23001,สำนักงานสถิติแห่งชาติ,26,คน,2557
ผู้ช่วยผู้ประกอบอาหาร,1187,สำนักงานสถิติแห่งชาติ,27,คน,2557
ผู้จำหน่ายสินค้าและให้บริการตามถนนและสถานที่ที่คล้ายกัน,14355,สำนักงานสถิติแห่งชาติ,28,คน,2557
ผู้ปฎิบัติงานด้านขยะและผู้ประกอบอาชีพงานพื้นฐานอื่นๆ,13102,สำนักงานสถิติแห่งชาติ,29,คน,2557
อาชีพที่มิได้ระบุไว้,5307,สำนักงานสถิติแห่งชาติ,30,คน,2557
รวม,1435931,สำนักงานสถิติแห่งชาติ,31,คน,2557
ผู้บริหารระดับสูง ข้าราชการอาวุโส และผู้บัญญัติกฎหมาย,27417,สำนักงานสถิติแห่งชาติ,32,คน,2558
ผู้จัดการด้านการบริหารจัดการและการพาณิชย์,48196,สำนักงานสถิติแห่งชาติ,33,คน,2558
ผู้จัดการด้านการผลิตและการบริการเฉพาะอย่าง,120605,สำนักงานสถิติแห่งชาติ,34,คน,2558
ผู้จัดการโรงแรม การค้า และการบริการอื่นๆ ที่เกี่ยวข้อง,50314,สำนักงานสถิติแห่งชาติ,35,คน,2558
ผู้ประกอบวิชาชีพด้านการออกแบบผลิตภัณฑ์ เครื่องแต่งกาย ภาพกราฟฟิกและสื่อผสม,30421,สำนักงานสถิติแห่งชาติ,36,คน,2558
ผู้ประกอบวิชาชีพด้านการสอน,98253,สำนักงานสถิติแห่งชาติ,37,คน,2558
ผู้ประกอบวิชาชีพด้านธุรกิจและการบริหาร,32827,สำนักงานสถิติแห่งชาติ,38,คน,2558
ผู้ประกอบวิชาชีพด้านกฎหมาย สังคม และวัฒนธรรม,18418,สำนักงานสถิติแห่งชาติ,39,คน,2558
ผู้ประกอบวิชาชีพอื่น ที่เกี่ยวข้องกับด้านสุขภาพ,5253,สำนักงานสถิติแห่งชาติ,40,คน,2558
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับธุรกิจและการบริหาร,76928,สำนักงานสถิติแห่งชาติ,41,คน,2558
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับกฎหมาย สังคม วัฒนธรรม และด้านอื่นๆที่เกี่ยวข้อง (ไม่รวมช่างถ่ายภาพ),23396,สำนักงานสถิติแห่งชาติ,42,คน,2558
เสมียนทั่วไปและพนักงานใช้อุปกรณ์ที่มีแผงพิมพ์,85871,สำนักงานสถิติแห่งชาติ,43,คน,2558
เสมียนด้านการให้บริการลูกค้า,29770,สำนักงานสถิติแห่งชาติ,44,คน,2558
เสมียนบันทึกรายการตัวเลข วัสดุ และสินค้า,61556,สำนักงานสถิติแห่งชาติ,45,คน,2558
เสมียนอื่นๆ,22112,สำนักงานสถิติแห่งชาติ,46,คน,2558
พนักงานบริการส่วนบุคคล,57863,สำนักงานสถิติแห่งชาติ,47,คน,2558
ผู้จำหน่ายสินค้า,369289,สำนักงานสถิติแห่งชาติ,48,คน,2558
ผู้ปฎิบัติงานดูแลส่วนบุคคล,17133,สำนักงานสถิติแห่งชาติ,49,คน,2558
ผู้ให้บริการด้านการป้องกันภัย,34250,สำนักงานสถิติแห่งชาติ,50,คน,2558
ผู้ปฎิบัติงานที่มีฝีมือด้านการเกษตร ประมง ล่าสัตว์ และเก็บพืชผลเพื่อการดำรงชีพ,13827,สำนักงานสถิติแห่งชาติ,51,คน,2558
ช่างงานหัตถกรรมและงานพิมพ์,16694,สำนักงานสถิติแห่งชาติ,52,คน,2558
ผู้แปรรูปอาหาร งานไม้ เครื่องแต่งกาย และผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวม ผู้ปฏิบัติงานด้านวัตถุระเบิด ปฏิบัติงานใต้น้ำ ทดสอบผลิตภัณฑ์ที่ไม่ใช่อาหารและเครื่องดื่ม ผู้รมยาและกำจัดแมลง),38926,สำนักงานสถิติแห่งชาติ,53,คน,2558
ผู้ขับยานยนต์และผู้ควบคุมเครื่องจักรโรงงานชนิดเคลื่อนที่ได้,131532,สำนักงานสถิติแห่งชาติ,54,คน,2558
คนงานและผู้ช่วยทำความสะอาด,19897,สำนักงานสถิติแห่งชาติ,55,คน,2558
คนงานด้านเกษตร ประมง และป่าไม้,10780,สำนักงานสถิติแห่งชาติ,56,คน,2558
คนงานเหมืองแร่ การก่อสร้าง การผลิต และการขนส่ง,26663,สำนักงานสถิติแห่งชาติ,57,คน,2558
ผู้ช่วยผู้ประกอบอาหาร,1289,สำนักงานสถิติแห่งชาติ,58,คน,2558
ผู้จำหน่ายสินค้าและให้บริการตามถนนและสถานที่ที่คล้ายกัน,13955,สำนักงานสถิติแห่งชาติ,59,คน,2558
ผู้ปฎิบัติงานด้านขยะและผู้ประกอบอาชีพงานพื้นฐานอื่นๆ,17282,สำนักงานสถิติแห่งชาติ,60,คน,2558
อาชีพที่มิได้ระบุไว้,7922,สำนักงานสถิติแห่งชาติ,61,คน,2558
รวม,1508639,สำนักงานสถิติแห่งชาติ,62,คน,2558
ผู้บริหารระดับสูง ข้าราชการอาวุโส และผู้บัญญัติกฎหมาย,23665,สำนักงานสถิติแห่งชาติ,63,คน,2559
ผู้จัดการด้านการบริหารจัดการและการพาณิชย์,38504,สำนักงานสถิติแห่งชาติ,64,คน,2559
ผู้จัดการด้านการผลิตและการบริการเฉพาะอย่าง,113925,สำนักงานสถิติแห่งชาติ,65,คน,2559
ผู้จัดการโรงแรม การค้า และการบริการอื่นๆ ที่เกี่ยวข้อง,50896,สำนักงานสถิติแห่งชาติ,66,คน,2559
