VALUE,QUARTER,AREA,SOURCE,_id,REG,AGEGROUP,UNIT,YEAR
535.9,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,1,กรุงเทพมหานคร, 20-24 ปี,พันคน,2563
766.8,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,2,กรุงเทพมหานคร, 25-29 ปี,พันคน,2563
901.7,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,3,กรุงเทพมหานคร, 30-34 ปี,พันคน,2563
903.8,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,4,กรุงเทพมหานคร, 35-39 ปี,พันคน,2563
1658.3,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,5,กรุงเทพมหานคร, 40-49 ปี,พันคน,2563
1262.6,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,6,กรุงเทพมหานคร, 50-59 ปี,พันคน,2563
1249.6,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,7,กรุงเทพมหานคร, 60 ปีขึ้นไป,พันคน,2563
504.3,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,8,ภาคกลาง, 15-19 ปี,พันคน,2563
653.6,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,9,ภาคกลาง, 20-24 ปี,พันคน,2563
795.0,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,10,ภาคกลาง, 25-29 ปี,พันคน,2563
810.1,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,11,ภาคกลาง, 30-34 ปี,พันคน,2563
839.5,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,12,ภาคกลาง, 35-39 ปี,พันคน,2563
1599.8,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,13,ภาคกลาง, 40-49 ปี,พันคน,2563
1334.2,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,14,ภาคกลาง, 50-59 ปี,พันคน,2563
1439.6,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,15,ภาคกลาง, 60 ปีขึ้นไป,พันคน,2563
626.6,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,16,ภาคกลาง, 15-19 ปี,พันคน,2563
745.2,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,17,ภาคกลาง, 20-24 ปี,พันคน,2563
836.6,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,18,ภาคกลาง, 25-29 ปี,พันคน,2563
851.6,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,19,ภาคกลาง, 30-34 ปี,พันคน,2563
893.7,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,20,ภาคกลาง, 35-39 ปี,พันคน,2563
1803.1,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,21,ภาคกลาง, 40-49 ปี,พันคน,2563
1613.0,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,22,ภาคกลาง, 50-59 ปี,พันคน,2563
1853.4,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,23,ภาคกลาง, 60 ปีขึ้นไป,พันคน,2563
263.1,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,24,ภาคเหนือ, 15-19 ปี,พันคน,2563
287.6,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,25,ภาคเหนือ, 20-24 ปี,พันคน,2563
266.2,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,26,ภาคเหนือ, 25-29 ปี,พันคน,2563
210.9,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,27,ภาคเหนือ, 30-34 ปี,พันคน,2563
206.8,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,28,ภาคเหนือ, 35-39 ปี,พันคน,2563
512.9,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,29,ภาคเหนือ, 40-49 ปี,พันคน,2563
660.2,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,30,ภาคเหนือ, 50-59 ปี,พันคน,2563
920.4,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,31,ภาคเหนือ, 60 ปีขึ้นไป,พันคน,2563
490.0,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,32,ภาคเหนือ, 15-19 ปี,พันคน,2563
504.3,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,33,ภาคเหนือ, 20-24 ปี,พันคน,2563
471.2,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,34,ภาคเหนือ, 25-29 ปี,พันคน,2563
388.7,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,35,ภาคเหนือ, 30-34 ปี,พันคน,2563
394.7,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,36,ภาคเหนือ, 35-39 ปี,พันคน,2563
956.7,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,37,ภาคเหนือ, 40-49 ปี,พันคน,2563
1199.9,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,38,ภาคเหนือ, 50-59 ปี,พันคน,2563
1752.2,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,39,ภาคเหนือ, 60 ปีขึ้นไป,พันคน,2563
426.5,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,40,ภาคตะวันออกเฉียงเหนือ, 15-19 ปี,พันคน,2563
430.2,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,41,ภาคตะวันออกเฉียงเหนือ, 20-24 ปี,พันคน,2563
333.9,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,42,ภาคตะวันออกเฉียงเหนือ, 25-29 ปี,พันคน,2563
