จำนวน,ที่มา,_id,ปี,หน่วยนับ,จังหวัด
0,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,1,2561,ผลิตภัณฑ์,พิจิตร
0,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,2,2562,ผลิตภัณฑ์,พิจิตร
0,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,3,2563,ผลิตภัณฑ์,พิจิตร
4,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,4,2564,ผลิตภัณฑ์,พิจิตร
4,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,5,2565,ผลิตภัณฑ์,พิจิตร
4,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,6,2566,ผลิตภัณฑ์,พิจิตร
