province,﻿year,sex,quarter,_id,region,value,unit,source
อ่างทอง,2562,ชาย,ไตรมาส 1,1,ภาคกลาง,69.8,พันคน,สำนักงานสถิติแห่งชาติ
ระนอง,2562,หญิง,ไตรมาส 1,2,ภาคใต้,51.5,พันคน,สำนักงานสถิติแห่งชาติ
นครราชสีมา,2562,ชาย,ไตรมาส 2,3,ภาคตะวันออกเฉียงเหนือ,655.2,พันคน,สำนักงานสถิติแห่งชาติ
สมุทรสงคราม,2562,หญิง,ไตรมาส 3,4,ภาคกลาง,49.3,พันคน,สำนักงานสถิติแห่งชาติ
ปัตตานี,2562,ชาย,ไตรมาส 3,5,ภาคใต้,174.2,พันคน,สำนักงานสถิติแห่งชาติ
กาฬสินธุ์,2562,ชาย,ไตรมาส 4,6,ภาคตะวันออกเฉียงเหนือ,228.6,พันคน,สำนักงานสถิติแห่งชาติ
เพชรบุรี,2563,หญิง,ไตรมาส 1,7,ภาคกลาง,134.4,พันคน,สำนักงานสถิติแห่งชาติ
กระบี่,2563,ชาย,ไตรมาส 1,8,ภาคใต้,123.3,พันคน,สำนักงานสถิติแห่งชาติ
เชียงราย,2563,ชาย,ไตรมาส 2,9,ภาคเหนือ,337.0,พันคน,สำนักงานสถิติแห่งชาติ
นนทบุรี,2563,หญิง,ไตรมาส 3,10,ภาคกลาง,468.7,พันคน,สำนักงานสถิติแห่งชาติ
หนองบัวลำภู,2563,หญิง,ไตรมาส 3,11,ภาคตะวันออกเฉียงเหนือ,104.5,พันคน,สำนักงานสถิติแห่งชาติ
ลำปาง,2563,ชาย,ไตรมาส 4,12,ภาคเหนือ,224.6,พันคน,สำนักงานสถิติแห่งชาติ
ชลบุรี,2564,หญิง,ไตรมาส 1,13,ภาคกลาง,478.1,พันคน,สำนักงานสถิติแห่งชาติ
เลย,2564,หญิง,ไตรมาส 1,14,ภาคตะวันออกเฉียงเหนือ,141.8,พันคน,สำนักงานสถิติแห่งชาติ
เชียงใหม่,2564,ชาย,ไตรมาส 2,15,ภาคเหนือ,554.5,พันคน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,2564,ชาย,ไตรมาส 3,16,กรุงเทพมหานคร,2813.3,พันคน,สำนักงานสถิติแห่งชาติ
มหาสารคาม,2564,ชาย,ไตรมาส 3,17,ภาคตะวันออกเฉียงเหนือ,231.4,พันคน,สำนักงานสถิติแห่งชาติ
สระบุรี,2564,หญิง,ไตรมาส 4,18,ภาคกลาง,173.9,พันคน,สำนักงานสถิติแห่งชาติ
ภูเก็ต,2564,ชาย,ไตรมาส 4,19,ภาคใต้,174.3,พันคน,สำนักงานสถิติแห่งชาติ
