﻿year,level_of_edu,quarter,_id,area,region,value,unit,source
2556,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,1,เขตเทศบาล,ภาคเหนือ,68.52,พันคน,สำนักงานสถิติแห่งชาติ
2556,อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,2,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,348.27,พันคน,สำนักงานสถิติแห่งชาติ
2556,ประถมศึกษา,ไตรมาส 2,3,เขตเทศบาล,ภาคกลาง,638.48,พันคน,สำนักงานสถิติแห่งชาติ
2556,อุดมศึกษา สายวิชาชีพ,ไตรมาส 2,4,นอกเขตเทศบาล,ภาคเหนือ,215.4,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไม่ทราบ,ไตรมาส 2,5,เขตเทศบาล,ภาคใต้,19.06,พันคน,สำนักงานสถิติแห่งชาติ
2556,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 3,6,นอกเขตเทศบาล,ภาคกลาง,227.61,พันคน,สำนักงานสถิติแห่งชาติ
2556,อื่น ๆ,ไตรมาส 3,7,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,0.04,พันคน,สำนักงานสถิติแห่งชาติ
2556,มัธยมศึกษาตอนต้น,ไตรมาส 4,8,เขตเทศบาล,กรุงเทพมหานคร,495.9,พันคน,สำนักงานสถิติแห่งชาติ
2556,อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 4,9,เขตเทศบาล,ภาคเหนือ,53.29,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไม่มีการศึกษา,ไตรมาส 4,10,เขตเทศบาล,ภาคใต้,46.02,พันคน,สำนักงานสถิติแห่งชาติ
2557,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,11,เขตเทศบาล,ภาคกลาง,3.36,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไม่มีการศึกษา,ไตรมาส 1,12,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,28.06,พันคน,สำนักงานสถิติแห่งชาติ
2557,มัธยมศึกษาตอนต้น,ไตรมาส 1,13,นอกเขตเทศบาล,ภาคใต้,582.91,พันคน,สำนักงานสถิติแห่งชาติ
2557,อุดมศึกษา สายวิชาชีพ,ไตรมาส 2,14,นอกเขตเทศบาล,ภาคกลาง,346.92,พันคน,สำนักงานสถิติแห่งชาติ
2557,ต่ำกว่าประถมศึกษา,ไตรมาส 2,15,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,2331.68,พันคน,สำนักงานสถิติแห่งชาติ
2557,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 3,16,เขตเทศบาล,กรุงเทพมหานคร,0.46,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไม่มีการศึกษา,ไตรมาส 3,17,นอกเขตเทศบาล,ภาคเหนือ,348.84,พันคน,สำนักงานสถิติแห่งชาติ
2557,มัธยมศึกษาตอนต้น,ไตรมาส 3,18,เขตเทศบาล,ภาคใต้,280.61,พันคน,สำนักงานสถิติแห่งชาติ
2557,อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 4,19,เขตเทศบาล,ภาคกลาง,91.18,พันคน,สำนักงานสถิติแห่งชาติ
2557,มัธยมศึกษาตอนต้น,ไตรมาส 4,20,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,380.47,พันคน,สำนักงานสถิติแห่งชาติ
2557,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 4,21,นอกเขตเทศบาล,ภาคใต้,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไม่มีการศึกษา,ไตรมาส 1,22,เขตเทศบาล,ภาคเหนือ,118.79,พันคน,สำนักงานสถิติแห่งชาติ
2558,มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,23,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,750.29,พันคน,สำนักงานสถิติแห่งชาติ
2558,อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 2,24,เขตเทศบาล,กรุงเทพมหานคร,72.08,พันคน,สำนักงานสถิติแห่งชาติ
2558,มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 2,25,นอกเขตเทศบาล,ภาคเหนือ,427.33,พันคน,สำนักงานสถิติแห่งชาติ
2558,อุดมศึกษา สายวิชาการ,ไตรมาส 2,26,เขตเทศบาล,ภาคใต้,293.32,พันคน,สำนักงานสถิติแห่งชาติ
2558,ต่ำกว่าประถมศึกษา,ไตรมาส 3,27,นอกเขตเทศบาล,ภาคกลาง,1251.61,พันคน,สำนักงานสถิติแห่งชาติ
2558,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 3,28,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,0.17,พันคน,สำนักงานสถิติแห่งชาติ
2558,อื่น ๆ,ไตรมาส 3,29,นอกเขตเทศบาล,ภาคใต้,1.09,พันคน,สำนักงานสถิติแห่งชาติ
2558,มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 4,30,เขตเทศบาล,ภาคเหนือ,272.79,พันคน,สำนักงานสถิติแห่งชาติ
2558,อุดมศึกษา สายวิชาการ,ไตรมาส 4,31,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,262.37,พันคน,สำนักงานสถิติแห่งชาติ
2559,ต่ำกว่าประถมศึกษา,ไตรมาส 1,32,เขตเทศบาล,ภาคกลาง,711.87,พันคน,สำนักงานสถิติแห่งชาติ
