จำนวน,_id,ปี,ระดับการศึกษา,สัดส่วน,ไตรมาส
826065,1,2564,รวม,100,1/2564
113721,2,2564,ต่ำกว่าประถมศึกษา,13.77,1/2564
219026,3,2564,ประถมศึกษา,26.51,1/2564
157386,4,2564,มัธยมศึกษาตอนต้น,19.05,1/2564
129631,5,2564,มัธยมศึกษาตอนปลายสายสามัญ,15.69,1/2564
20567,6,2564,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,2.49,1/2564
94005,7,2564,อุดมศึกษาสายวิชาการ,11.38,1/2564
75184,8,2564,อุดมศึกษาสายวิชาชีพ,9.1,1/2564
16545,9,2564,อุดมศึกษาสายวิชาการศึกษา,2,1/2564
860292,10,2564,รวม,100,2/2564
121015,11,2564,ต่ำกว่าประถมศึกษา,14.07,2/2564
213669,12,2564,ประถมศึกษา,24.84,2/2564
164548,13,2564,มัธยมศึกษาตอนต้น,19.13,2/2564
157753,14,2564,มัธยมศึกษาตอนปลายสายสามัญ,18.34,2/2564
14169,15,2564,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.65,2/2564
107624,16,2564,อุดมศึกษาสายวิชาการ,12.51,2/2564
58353,17,2564,อุดมศึกษาสายวิชาชีพ,6.78,2/2564
23161,18,2564,อุดมศึกษาสายวิชาการศึกษา,2.69,2/2564
907157,19,2564,รวม,100,3/2564
125014,20,2564,ต่ำกว่าประถมศึกษา,13.78,3/2564
251931,21,2564,ประถมศึกษา,27.77,3/2564
170123,22,2564,มัธยมศึกษาตอนต้น,18.75,3/2564
163124,23,2564,มัธยมศึกษาตอนปลายสายสามัญ,17.98,3/2564
10249,24,2564,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.13,3/2564
93264,25,2564,อุดมศึกษาสายวิชาการ,10.28,3/2564
67983,26,2564,อุดมศึกษาสายวิชาชีพ,7.49,3/2564
25469,27,2564,อุดมศึกษาสายวิชาการศึกษา,2.81,3/2564
935402,28,2564,รวม,100,4/2564
128748,29,2564,ต่ำกว่าประถมศึกษา,13.76,4/2564
240651,30,2564,ประถมศึกษา,25.73,4/2564
188284,31,2564,มัธยมศึกษาตอนต้น,20.13,4/2564
182892,32,2564,มัธยมศึกษาตอนปลายสายสามัญ,19.55,4/2564
18768,33,2564,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,2.01,4/2564
93000,34,2564,อุดมศึกษาสายวิชาการ,9.94,4/2564
62878,35,2564,อุดมศึกษาสายวิชาชีพ,6.72,4/2564
20181,36,2564,อุดมศึกษาสายวิชาการศึกษา,2.16,4/2564
882229,37,2564,รวม,100,
122125,38,2564,ต่ำกว่าประถมศึกษา,13.84,
231319,39,2564,ประถมศึกษา,26.22,
170085,40,2564,มัธยมศึกษาตอนต้น,19.28,
158350,41,2564,มัธยมศึกษาตอนปลายสายสามัญ,17.95,
15938,42,2564,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.81,
96973,43,2564,อุดมศึกษาสายวิชาการ,10.99,
66100,44,2564,อุดมศึกษาสายวิชาชีพ,7.49,
21339,45,2564,อุดมศึกษาสายวิชาการศึกษา,2.42,
812253,46,2565,รวม,100,1/2565
106311,47,2565,ต่ำกว่าประถมศึกษา,13.09,1/2565
194171,48,2565,ประถมศึกษา,23.91,1/2565
159867,49,2565,มัธยมศึกษาตอนต้น,19.68,1/2565
148734,50,2565,มัธยมศึกษาตอนปลายสายสามัญ,18.31,1/2565
8189,51,2565,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.01,1/2565
112347,52,2565,อุดมศึกษาสายวิชาการ,13.83,1/2565
53860,53,2565,อุดมศึกษาสายวิชาชีพ,6.63,1/2565
28774,54,2565,อุดมศึกษาสายวิชาการศึกษา,3.54,1/2565
884774,55,2565,รวม,100,2/2565
97454,56,2565,ต่ำกว่าประถมศึกษา,11.01,2/2565
211000,57,2565,ประถมศึกษา,23.85,2/2565
211000,58,2565,มัธยมศึกษาตอนต้น,23.85,2/2565
164181,59,2565,มัธยมศึกษาตอนปลายสายสามัญ,18.56,2/2565
8440,60,2565,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,0.95,2/2565
105208,61,2565,อุดมศึกษาสายวิชาการ,11.89,2/2565
59403,62,2565,อุดมศึกษาสายวิชาชีพ,6.71,2/2565
28088,63,2565,อุดมศึกษาสายวิชาการศึกษา,3.17,2/2565
875542,64,2565,รวม,100,3/2565
83914,65,2565,ต่ำกว่าประถมศึกษา,9.58,3/2565
202777,66,2565,ประถมศึกษา,23.16,3/2565
195457,67,2565,มัธยมศึกษาตอนต้น,22.32,3/2565
202310,68,2565,มัธยมศึกษาตอนปลายสายสามัญ,23.11,3/2565
27677,69,2565,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,3.16,3/2565
89549,70,2565,อุดมศึกษาสายวิชาการ,10.23,3/2565
57560,71,2565,อุดมศึกษาสายวิชาชีพ,6.57,3/2565
16298,72,2565,อุดมศึกษาสายวิชาการศึกษา,1.86,3/2565
879623,73,2565,รวม,100,4/2565
116644,74,2565,ต่ำกว่าประถมศึกษา,13.26,4/2565
227331,75,2565,ประถมศึกษา,25.84,4/2565
171526,76,2565,มัธยมศึกษาตอนต้น,19.5,4/2565
161263,77,2565,มัธยมศึกษาตอนปลายสายสามัญ,18.33,4/2565
