_id,รวม,1-4 คน,20-49 คน,5-9 คน,10-19 คน
1,,,,,
2,,,,,
3,สปก.,สปก.,สปก.,สปก.,สปก.
4,,,,,
5,,,,,
6,4907.0,2291.0,396.0,1495.0,589.0
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
