ผลผลิตต่อไร่(กก./ไร่),พื้นที่ปลูก(ไร่),_id,ปี,เศษวัสดุ (ตัน),ผลผลิต(ตัน),อำเภอ,พื้นที่เก็บเกี่ยว(ไร่)
10500,8270,1,2562,14761.95,86835,เมืองพิษณุโลก,8270
10500,17445,2,2562,31139.325,183172.5,บางกระทุ่ม,17445
10500,73509,3,2562,131213.565,771844.5,บางระกำ,73509
10000,18818,4,2562,31990.6,188180,พรหมพิราม,18818
10267,157805,5,2562,275426.418,1620155.4,รวม,157805
9800,16373,6,2562,27277.418,160455.4,เนินมะปราง,16373
10000,2230,7,2562,3791,22300,ชาติตระการ,2230
9800,6603,8,2562,11000.598,64709.4,วัดโบสถ์,6603
9800,1089,9,2562,1814.274,10672.2,นครไทย,1089
9800,13468,10,2562,22437.688,131986.4,วังทอง,13468
9000,7292,11,2563,11156.76,65628,วังทอง,7292
9000,10014,12,2563,15321.42,90126,เนินมะปราง,10014
9326,150821,13,2563,239119.79,1406587,รวม,150821
9000,10702,14,2563,16374.06,96318,พรหมพิราม,10702
9000,6109,15,2563,9346.77,54981,เมืองพิษณุโลก,6109
9000,486,16,2563,743.58,4374,นครไทย,486
9000,2395,17,2563,3664.35,21555,ชาติตระการ,2395
9000,1667,18,2563,2550.51,15003,วัดโบสถ์,1667
9500,98396,19,2563,158909.54,934762,บางระกำ,98396
9000,13760,20,2563,21052.8,123840,บางกระทุ่ม,13760
10211,7365,21,2564,12784.68255,75204.015,เนินมะปราง,7365
10545,5109,22,2564,9158.64885,53874.405,เมืองพิษณุโลก,5109
10025,1667,23,2564,2840.98475,16711.675,วัดโบสถ์,1667
10032,9706,24,2564,16553.00064,97370.592,บางกระทุ่ม,9706
9987,486,25,2564,825.12594,4853.682,นครไทย,486
10018,1395,26,2564,2375.7687,13975.11,ชาติตระการ,1395
10261,88396,27,2564,154195.3305,907031.356,บางระกำ,88396
10040,4421,28,2564,7545.7628,44386.84,วังทอง,4421
10239,128189,29,2564,223170.8672,1312769.807,รวม,128189
10303,9644,30,2564,16891.56244,99362.132,พรหมพิราม,9644
11072,5572,31,2565,10487.84128,61693.184,เมืองพิษณุโลก,5572
10542,4063,32,2565,7281.46482,42832.146,วังทอง,4063
10774,83661,33,2565,153231.8144,901363.614,บางระกำ,83661
10348,10823,34,2565,19039.38868,111996.404,บางกระทุ่ม,10823
10818,18138,35,2565,33356.87028,196216.884,พรหมพิราม,18138
10721,8802,36,2565,16042.26114,94366.242,เนินมะปราง,8802
10526,7220,37,2565,12919.6124,75997.72,วัดโบสถ์,7220
10486,1929,38,2565,3438.67398,20227.494,นครไทย,1929
10450,4484,39,2565,7965.826,46857.8,ชาติตระการ,4484
10672,4963,40,2566,9004.07312,52965.136,เมืองพิษณุโลก,4963
10542,4568,41,2566,8186.49552,48155.856,วังทอง,4568
10874,82075,42,2566,151722.2035,892483.55,บางระกำ,82075
10348,11066,43,2566,19466.86456,114510.968,บางกระทุ่ม,11066
10818,16248,44,2566,29881.04688,175770.864,พรหมพิราม,16248
10471,9119,45,2566,16232.45833,95485.049,เนินมะปราง,9119
10526,6182,46,2566,11062.19444,65071.732,วัดโบสถ์,6182
10486,1325,47,2566,2361.9715,13893.95,นครไทย,1325
10450,4292,48,2566,7624.738,44851.4,ชาติตระการ,4292
10672,4429,49,2567,8035.26896,47266.288,เมืองพิษณุโลก,4429
10542,5776,50,2567,10351.40064,60890.592,วังทอง,5776
10874,81244,51,2567,150186.0335,883447.256,บางระกำ,81244
10348,11330,52,2567,19931.2828,117242.84,บางกระทุ่ม,11330
10818,15532,53,2567,28564.27992,168025.176,พรหมพิราม,15532
10471,11219,54,2567,19970.60533,117474.149,เนินมะปราง,11219
10526,6607,55,2567,11822.69794,69545.282,วัดโบสถ์,6607
10486,1462,56,2567,2606.19044,15330.532,นครไทย,1462
10450,4800,57,2567,8527.2,50160,ชาติตระการ,4800
