กลุ่มอายุ,แรงงานในระบบ หญิง (คน),รวมแรงงานนอกระบบ (คน),_id,ปี,หญิง (คน),รวม (คน),รวมแรงงานในระบบ (คน),แรงงานนอกระบบ ชาย (คน),แรงงานนอกระบบ หญิง (คน),จังหวัด,ชาย (คน),แรงงานในระบบ ชาย (คน)
รวม,152380.228,78611.5423000002,1,2555,140762.7748,307509.208599999,155128.980600000009872019290924072265625,73768.68570000000181607902050018310546875,73768.6857,ประจวบคีรีขันธ์,166746.4338,88134.8915
รวม,183039.613,98595.0807,2,2556,140729.3986,311471.7342,128432.1211999999941326677799224853515625,84444.5322999999043531715869903564453125,84444.5322999999,ประจวบคีรีขันธ์,170742.3356,72147.2549
รวม,157587.5082,84831.9402,3,2557,122650.3411,274010.8982,116423.389999999999417923390865325927734375,72755.56799999999930150806903839111328125,72755.568,ประจวบคีรีขันธ์,151360.5571,66528.6169
รวม,155687.7822,86846.7351,4,2558,117767.3834,271300.3692,115612.5869999999995343387126922607421875,68841.047100000097998417913913726806640625,68841.0471000001,ประจวบคีรีขันธ์,153532.9858,66686.2506999999
รวม,164534.9007,90463.8962,5,2559,120380.0195,274757.733900001,110222.83319999999366700649261474609375,74071.004499999995459802448749542236328125,74071.0045,ประจวบคีรีขันธ์,154377.7144,63913.8182
รวม,143646.0566,78593.2755,6,2560,117341.2219,268232.857200001,124586.800600000002305023372173309326171875,65052.7810999998982879333198070526123046875,65052.7810999999,ประจวบคีรีขันธ์,150891.6353,72298.3598000001
รวม,147009.8772,82312.3993,7,2561,117622.455,270911.808299999,123901.931100000001606531441211700439453125,64697.4778999999980442225933074951171875,64697.4779,ประจวบคีรีขันธ์,153289.3533,70976.954
รวม,134348.0522,76439.9603,8,2562,110022.7462,257368.0867,123020.034499999994295649230480194091796875,57908.091900000101304613053798675537109375,57908.0919000001,ประจวบคีรีขันธ์,147345.3405,70905.3801999999
รวม,141463.5863,79814.6506,9,2563,113271.296,262074.4582,120610.87189999999827705323696136474609375,61648.93570000000181607902050018310546875,61648.9357,ประจวบคีรีขันธ์,148803.1622,68988.5116
รวม,141376.5316,80193.7983,10,2564,108063.1054,255071.7326,113695.201000000000931322574615478515625,61182.7332999999998719431459903717041015625,61182.7333,ประจวบคีรีขันธ์,147008.6272,66814.8289
รวม,140018.0384,76329.4292,11,2565,120781.8667,268848.8356,128830.79720000000088475644588470458984375,63688.6092000001008273102343082427978515625,63688.6092000001,ประจวบคีรีขันธ์,148066.9689,71737.5397
รวม,141463.5863,79814.6506,12,2566,113271.296,262074.4582,120610.87189999999827705323696136474609375,61648.93570000000181607902050018310546875,61648.9357,ประจวบคีรีขันธ์,148803.1622,68988.5116
15 - 19,4589.1894,2979.6198,13,2555,5802.5591,14370.4885,9781.29910000000018044374883174896240234375,1609.569600000000036743585951626300811767578125,1609.5696,ประจวบคีรีขันธ์,8567.9294,5588.3096
15 - 19,5857.7406,3906.7603,14,2556,4283.5122,11556.9835,5699.2429000000001906300894916057586669921875,1950.980299999999942883732728660106658935546875,1950.9803,ประจวบคีรีขันธ์,7273.4713,3366.711
15 - 19,4682.4885,2668.1652,15,2557,3263.1252,9731.9583,5049.4697999999998501152731478214263916015625,2014.32330000000001746229827404022216796875,2014.3233,ประจวบคีรีขันธ์,6468.8331,3800.6679
15 - 19,3769.9434,2675.2937,16,2558,3318.9572,10306.7079,6536.7645000000002255546860396862030029296875,1094.649699999999938881956040859222412109375,1094.6497,ประจวบคีรีขันธ์,6987.7507,4312.457
15 - 19,5593.2141,4169.882,17,2559,3904.7558,10773.5705,5180.3563999999996667611412703990936279296875,1423.33210000000008221832104027271270751953125,1423.3321,ประจวบคีรีขันธ์,6868.8147,2698.9327
