จำนวน,_id,ปี,ประเภทรถ,จังหวัด
4,1,2568,รถโดยสารประจำทาง,ระยอง
105,2,2568,รถโดยสารไม่ประจำทาง,ระยอง
11,3,2568,รถโดยสารส่วนบุคคล,ระยอง
326,4,2568,รถบรรทุกไม่ประจำทาง,ระยอง
257,5,2568,รถบรรทุกส่วนบุคคล,ระยอง
0,6,2568,รถบรรทุกรถขนาดเล็ก,ระยอง
2,7,2567,รถโดยสารประจำทาง,ระยอง
176,8,2567,รถโดยสารไม่ประจำทาง,ระยอง
9,9,2567,รถโดยสารส่วนบุคคล,ระยอง
658,10,2567,รถบรรทุกไม่ประจำทาง,ระยอง
269,11,2567,รถบรรทุกส่วนบุคคล,ระยอง
0,12,2567,รถบรรทุกรถขนาดเล็ก,ระยอง
3,13,2566,รถโดยสารประจำทาง,ระยอง
177,14,2566,รถโดยสารไม่ประจำทาง,ระยอง
12,15,2566,รถโดยสารส่วนบุคคล,ระยอง
727,16,2566,รถบรรทุกไม่ประจำทาง,ระยอง
351,17,2566,รถบรรทุกส่วนบุคคล,ระยอง
0,18,2566,รถบรรทุกรถขนาดเล็ก,ระยอง
3,19,2565,รถโดยสารประจำทาง,ระยอง
257,20,2565,รถโดยสารไม่ประจำทาง,ระยอง
11,21,2565,รถโดยสารส่วนบุคคล,ระยอง
899,22,2565,รถบรรทุกไม่ประจำทาง,ระยอง
304,23,2565,รถบรรทุกส่วนบุคคล,ระยอง
0,24,2565,รถบรรทุกรถขนาดเล็ก,ระยอง
3,25,2564,รถโดยสารประจำทาง,ระยอง
152,26,2564,รถโดยสารไม่ประจำทาง,ระยอง
13,27,2564,รถโดยสารส่วนบุคคล,ระยอง
674,28,2564,รถบรรทุกไม่ประจำทาง,ระยอง
274,29,2564,รถบรรทุกส่วนบุคคล,ระยอง
0,30,2564,รถบรรทุกรถขนาดเล็ก,ระยอง
