_id,ปี,สปก.ด้านยาเสพติด,อำเภอ,ป้องกันและแก้ปัญหา,เข้าร่วมโรงงานสีขาว,หน่วย
1,2560,240,เมืองสมุทรปราการ,43,7,แห่ง
2,2560,61,พระสมุทรเจดีย์,8,0,แห่ง
3,2560,22,พระประแดง,20,5,แห่ง
4,2560,244,บางพลี,43,18,แห่ง
5,2560,116,บางเสาธง,22,6,แห่ง
6,2560,39,บางบ่อ,8,3,แห่ง
7,2560,722,รวม,144,39,แห่ง
8,2561,13,เมืองสมุทรปราการ,106,17,แห่ง
9,2561,3,พระสมุทรเจดีย์,33,8,แห่ง
10,2561,14,พระประแดง,157,23,แห่ง
11,2561,22,บางพลี,230,16,แห่ง
12,2561,22,บางเสาธง,128,16,แห่ง
13,2561,3,บางบ่อ,10,1,แห่ง
14,2561,77,รวม,664,81,แห่ง
15,2562,3,เมืองสมุทรปราการ,126,8,แห่ง
16,2562,3,พระสมุทรเจดีย์,42,4,แห่ง
17,2562,6,พระประแดง,165,17,แห่ง
18,2562,8,บางพลี,93,7,แห่ง
19,2562,12,บางเสาธง,205,14,แห่ง
20,2562,0,บางบ่อ,21,0,แห่ง
21,2562,32,รวม,652,50,แห่ง
22,2563,10,เมืองสมุทรปราการ,87,4,แห่ง
23,2563,1,พระสมุทรเจดีย์,7,1,แห่ง
24,2563,11,พระประแดง,162,16,แห่ง
25,2563,7,บางพลี,127,5,แห่ง
26,2563,9,บางเสาธง,246,24,แห่ง
27,2563,0,บางบ่อ,22,0,แห่ง
28,2563,38,รวม,651,50,แห่ง
29,2564,6,เมืองสมุทรปราการ,153,9,แห่ง
30,2564,0,พระสมุทรเจดีย์,57,2,แห่ง
31,2564,6,พระประแดง,85,6,แห่ง
32,2564,6,บางพลี,142,10,แห่ง
33,2564,6,บางเสาธง,79,6,แห่ง
34,2564,2,บางบ่อ,36,3,แห่ง
35,2564,26,รวม,552,36,แห่ง
36,2565,3,เมืองสมุทรปราการ,126,13,แห่ง
37,2565,3,พระสมุทรเจดีย์,31,1,แห่ง
38,2565,2,พระประแดง,109,8,แห่ง
39,2565,8,บางพลี,173,9,แห่ง
40,2565,11,บางเสาธง,75,6,แห่ง
41,2565,0,บางบ่อ,29,0,แห่ง
42,2565,27,รวม,543,37,แห่ง
43,2566,11,เมืองสมุทรปราการ,152,5,แห่ง
44,2566,1,พระสมุทรเจดีย์,43,2,แห่ง
45,2566,8,พระประแดง,81,4,แห่ง
46,2566,13,บางพลี,141,8,แห่ง
47,2566,8,บางเสาธง,64,6,แห่ง
48,2566,0,บางบ่อ,19,1,แห่ง
49,2566,41,รวม,500,26,แห่ง
50,2567,5,เมืองสมุทรปราการ,137,7,แห่ง
51,2567,0,พระสมุทรเจดีย์,26,2,แห่ง
52,2567,3,พระประแดง,51,3,แห่ง
53,2567,4,บางพลี,146,8,แห่ง
54,2567,4,บางเสาธง,72,5,แห่ง
55,2567,5,บางบ่อ,32,2,แห่ง
56,2567,21,รวม,464,27,แห่ง
57,2568,4,เมืองสมุทรปราการ,117,8,แห่ง
58,2568,3,พระสมุทรเจดีย์,43,1,แห่ง
59,2568,3,พระประแดง,37,4,แห่ง
60,2568,10,บางพลี,142,5,แห่ง
61,2568,9,บางเสาธง,90,8,แห่ง
62,2568,3,บางบ่อ,68,42,แห่ง
63,2568,32,รวม,497,68,แห่ง
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
