ผู้มีงานทำ,_id,ปี,หน่วย
331794,1,2561,คน
336589,2,2562,คน
330515,3,2563,คน
330478,4,2564,คน
353624,5,2565,คน
353529,6,2566,คน
342446,7,2567,คน
330676,8,2568,คน
