เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
เมษายน,39697,1,2567,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เมษายน,1208,2,2567,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
เมษายน,9416,3,2567,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
เมษายน,6,4,2567,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
เมษายน,229,5,2567,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
เมษายน,34,6,2567,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
เมษายน,14,7,2567,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
เมษายน,33,8,2567,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
เมษายน,142830,9,2567,รย. 12 รถจักรยานยนต์,รถยนต์
เมษายน,5414,10,2567,รย. 13 รถแทร็กเตอร์,รถยนต์
เมษายน,24,11,2567,รย. 14 รถบดถนน,รถยนต์
เมษายน,22,12,2567,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
เมษายน,71,13,2567,รย. 16 รถพ่วง,รถยนต์
เมษายน,58,14,2567,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
เมษายน,136,15,2567,รถโดยสารประจำทาง,รถขนส่ง
เมษายน,295,16,2567,รถโดยสารไม่ประจำทาง,รถขนส่ง
เมษายน,34,17,2567,รถโดยสารส่วนบุคคล,รถขนส่ง
เมษายน,2414,18,2567,รถบรรทุกไม่ประจำทาง,รถขนส่ง
เมษายน,2336,19,2567,รถบรรทุกส่วนบุคคล,รถขนส่ง
