_id,particular,unit,year,month,source,value
1,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,ม.ค.,กรมปศุสัตว์,72.55
2,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,ก.พ.,กรมปศุสัตว์,74.58
3,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,มี.ค.,กรมปศุสัตว์,74.6
4,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,เม.ย.,กรมปศุสัตว์,74.87
5,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,พ.ค.,กรมปศุสัตว์,75.0
6,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,มิ.ย.,กรมปศุสัตว์,75.0
7,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,ก.ค.,กรมปศุสัตว์,71.6
8,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,ส.ค.,กรมปศุสัตว์,68.93
9,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,ก.ย.,กรมปศุสัตว์,62.8
10,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,ต.ค.,กรมปศุสัตว์,60.49
11,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,พ.ย.,กรมปศุสัตว์,64.14
12,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2562,ธ.ค.,กรมปศุสัตว์,68.48
13,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,ม.ค.,กรมปศุสัตว์,78.46
14,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,ก.พ.,กรมปศุสัตว์,72.7
15,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,มี.ค.,กรมปศุสัตว์,73.44
16,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,เม.ย.,กรมปศุสัตว์,68.09
17,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,พ.ค.,กรมปศุสัตว์,71.8
18,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,มิ.ย.,กรมปศุสัตว์,75.12
19,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,ก.ค.,กรมปศุสัตว์,78.88
20,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,ส.ค.,กรมปศุสัตว์,79.5
21,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,ก.ย.,กรมปศุสัตว์,79.5
22,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,ต.ค.,กรมปศุสัตว์,78.95
23,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,พ.ย.,กรมปศุสัตว์,75.94
24,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2563,ธ.ค.,กรมปศุสัตว์,73.5
25,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,ม.ค.,กรมปศุสัตว์,80.0
26,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,ก.พ.,กรมปศุสัตว์,79.02
27,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,มี.ค.,กรมปศุสัตว์,79.85
28,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,เม.ย.,กรมปศุสัตว์,79.96
29,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,พ.ค.,กรมปศุสัตว์,77.06
30,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,มิ.ย.,กรมปศุสัตว์,76.17
31,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,ก.ค.,กรมปศุสัตว์,74.25
32,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,ส.ค.,กรมปศุสัตว์,71.63
33,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,ก.ย.,กรมปศุสัตว์,68.21
34,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,ต.ค.,กรมปศุสัตว์,76.64
35,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,พ.ย.,กรมปศุสัตว์,82.7
36,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2564,ธ.ค.,กรมปศุสัตว์,88.35
37,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2565,ม.ค.,กรมปศุสัตว์,107.86
38,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2565,ก.พ.,กรมปศุสัตว์,92.89
39,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2565,มี.ค.,กรมปศุสัตว์,88.84
40,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2565,เม.ย.,กรมปศุสัตว์,95.0
41,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2565,พ.ค.,กรมปศุสัตว์,99.8
42,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2565,มิ.ย.,กรมปศุสัตว์,100.0
43,ราคาสุกรมีชีวิตที่เกษตรกรขายได้ เฉลี่ยรายเดือน,บาท,2565,ก.ค.,กรมปศุสัตว์,100.0
