Province,Unit,_id,Year,Type of industry,Source,Value
สระแก้ว,แห่ง,1,2561,ผลิตภัณฑ์จากพืช,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,289
สระแก้ว,แห่ง,2,2561,อุตสาหกรรมอาหาร,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,41
สระแก้ว,แห่ง,3,2561,อุตสาหกรรมเครื่องดื่ม,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,17
สระแก้ว,แห่ง,4,2562,สิ่งทอ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,-
สระแก้ว,แห่ง,5,2561,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,6
สระแก้ว,แห่ง,6,2561,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,1
สระแก้ว,แห่ง,7,2561,แปรรูปไม้และผลิตภัณฑ์จากไม้ ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,39
สระแก้ว,แห่ง,8,2561,"เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น
",สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,37
สระแก้ว,แห่ง,9,2561,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,2
สระแก้ว,แห่ง,10,2561,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์ ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,-
สระแก้ว,แห่ง,11,2561,เคมีภัณฑ์และผลิตภัณฑ์เคมี ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,19
สระแก้ว,แห่ง,12,2561,ผลิตภัณฑ์จากปิโตรเลียม ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,7
สระแก้ว,แห่ง,13,2561,ยางและผลิตภัณฑ์ยาง ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,4
สระแก้ว,แห่ง,14,2561,ผลิตภัณฑ์พลาสติก,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,23
สระแก้ว,แห่ง,15,2561,ผลิตภัณฑ์อโลหะ ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,39
สระแก้ว,แห่ง,16,2561,ผลิตภัณฑ์โลหะขั้นมูลฐาน,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,6
สระแก้ว,แห่ง,17,2561,ผลิตภัณฑ์โลหะ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,14
สระแก้ว,แห่ง,18,2561,ผลิตภัณฑ์เครื่องจักร และเครื่องกล ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,5
สระแก้ว,แห่ง,19,2561,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์ ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,5
สระแก้ว,แห่ง,20,2561,ผลิตยานพาหนะและอุปกรณ์ ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,40
สระแก้ว,แห่ง,21,2561,รวมทั้งการซ่อมยานพาหนะและอุปกรณ์ การผลิตอื่นๆ,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,162
สระแก้ว,แห่ง,22,2562,ผลิตภัณฑ์จากพืช,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,289
