ค่าข้อมูล,ที่มา,_id,ปี,รายการ,หน่วย
1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,1,2560,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,2,2561,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,3,2562,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,4,2563,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,5,2564,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,6,2565,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,7,2566,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
6,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,8,2567,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
6,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,9,2568,โรงงานอุตสาหกรรมที่มีเครื่องจักรตั้งแต่ 50 แรงม้าขึ้นไปที่ประกอบกิจการแปรรูปกาแฟ,แห่ง
