เดือน,ภาษีมูลค่าเพิ่มรวม,_id,ปี,หน่วย
มกราคม,57.32,1,2568,ล้านบาท
กุมภาพันธ์,55.2,2,2568,ล้านบาท
มีนาคม,54.4,3,2568,ล้านบาท
เมษายน,75.92,4,2568,ล้านบาท
พฤษภาคม,50.25,5,2568,ล้านบาท
มิถุนายน,61.32,6,2568,ล้านบาท
กรกฎาคม,53.88,7,2568,ล้านบาท
สิงหาคม,55.86,8,2568,ล้านบาท
กันยายน,83.34,9,2568,ล้านบาท
ตุลาคม,100.75,10,2568,ล้านบาท
พฤศจิกายน,70.77,11,2568,ล้านบาท
ธันวาคม,56.88,12,2568,ล้านบาท
