ผลผลิตอ้อย,_id,ปี,หน่วยนับ,อำเภอ
"12,489",1,2562,กิโลกรัม,เมืองนครสวรรค์
"8,210",2,2562,กิโลกรัม,โกรกพระ
0,3,2562,กิโลกรัม,ชุมแสง
"8,780",4,2562,กิโลกรัม,หนองบัว
"107,323",5,2562,กิโลกรัม,บรรพตพิสัย
"9,930",6,2562,กิโลกรัม,เก้าเลี้ยว
"5,057",7,2562,กิโลกรัม,ตาคลี
"4,702",8,2562,กิโลกรัม,ท่าตะโก
"9,472",9,2562,กิโลกรัม,ไพศาลี
"10,537",10,2562,กิโลกรัม,พยุหะคีรี
"9,200",11,2562,กิโลกรัม,ลาดยาว
"8,074",12,2562,กิโลกรัม,ตากฟ้า
"9,968",13,2562,กิโลกรัม,แม่วงก์
"9,168",14,2562,กิโลกรัม,แม่เปิน
"7,748",15,2562,กิโลกรัม,ชุมตาบง
"9,937",16,2563,กิโลกรัม,เมืองนครสวรรค์
"11,185",17,2563,กิโลกรัม,โกรกพระ
0,18,2563,กิโลกรัม,ชุมแสง
"7,828",19,2563,กิโลกรัม,หนองบัว
"10,936",20,2563,กิโลกรัม,บรรพตพิสัย
"13,000",21,2563,กิโลกรัม,เก้าเลี้ยว
"9,751",22,2563,กิโลกรัม,ตาคลี
"10,000",23,2563,กิโลกรัม,ท่าตะโก
"9,995",24,2563,กิโลกรัม,ไพศาลี
"10,730",25,2563,กิโลกรัม,พยุหะคีรี
"10,000",26,2563,กิโลกรัม,ลาดยาว
"10,000",27,2563,กิโลกรัม,ตากฟ้า
"10,386",28,2563,กิโลกรัม,แม่วงก์
"9,539",29,2563,กิโลกรัม,แม่เปิน
"9,616",30,2563,กิโลกรัม,ชุมตาบง
"140,945",31,2564,กิโลกรัม,เมืองนครสวรรค์
"50,847",32,2564,กิโลกรัม,โกรกพระ
0,33,2564,กิโลกรัม,ชุมแสง
"29,481",34,2564,กิโลกรัม,หนองบัว
"108,736",35,2564,กิโลกรัม,บรรพตพิสัย
"114,848",36,2564,กิโลกรัม,เก้าเลี้ยว
"677,440",37,2564,กิโลกรัม,ตาคลี
"47,915",38,2564,กิโลกรัม,ท่าตะโก
"168,770",39,2564,กิโลกรัม,ไพศาลี
"559,410",40,2564,กิโลกรัม,พยุหะคีรี
"52,410",41,2564,กิโลกรัม,ลาดยาว
"189,010",42,2564,กิโลกรัม,ตากฟ้า
"91,677",43,2564,กิโลกรัม,แม่วงก์
"75,500",44,2564,กิโลกรัม,แม่เปิน
"302,000",45,2564,กิโลกรัม,ชุมตาบง
0,46,2565,กิโลกรัม,เมืองนครสวรรค์
"3,400",47,2565,กิโลกรัม,โกรกพระ
0,48,2565,กิโลกรัม,ชุมแสง
"54,747",49,2565,กิโลกรัม,หนองบัว
"73,281",50,2565,กิโลกรัม,บรรพตพิสัย
"153,188",51,2565,กิโลกรัม,เก้าเลี้ยว
"390,950",52,2565,กิโลกรัม,ตาคลี
"40,300",53,2565,กิโลกรัม,ท่าตะโก
"111,660",54,2565,กิโลกรัม,ไพศาลี
"417,560",55,2565,กิโลกรัม,พยุหะคีรี
"92,230",56,2565,กิโลกรัม,ลาดยาว
"175,991",57,2565,กิโลกรัม,ตากฟ้า
"85,734",58,2565,กิโลกรัม,แม่วงก์
"200,400",59,2565,กิโลกรัม,แม่เปิน
"348,784",60,2565,กิโลกรัม,ชุมตาบง
"118,747",61,2566,กิโลกรัม,เมืองนครสวรรค์
"11,906",62,2566,กิโลกรัม,โกรกพระ
0,63,2566,กิโลกรัม,ชุมแสง
"54,747",64,2566,กิโลกรัม,หนองบัว
"101,410",65,2566,กิโลกรัม,บรรพตพิสัย
"120,211",66,2566,กิโลกรัม,เก้าเลี้ยว
"295,610",67,2566,กิโลกรัม,ตาคลี
"64,000",68,2566,กิโลกรัม,ท่าตะโก
"161,080",69,2566,กิโลกรัม,ไพศาลี
"292,500",70,2566,กิโลกรัม,พยุหะคีรี
"44,690",71,2566,กิโลกรัม,ลาดยาว
"208,817",72,2566,กิโลกรัม,ตากฟ้า
"28,580",73,2566,กิโลกรัม,แม่วงก์
"275,000",74,2566,กิโลกรัม,แม่เปิน
"405,648",75,2566,กิโลกรัม,ชุมตาบง
"10,000",76,2567,กิโลกรัม,เมืองนครสวรรค์
0,77,2567,กิโลกรัม,โกรกพระ
0,78,2567,กิโลกรัม,ชุมแสง
0,79,2567,กิโลกรัม,หนองบัว
0,80,2567,กิโลกรัม,บรรพตพิสัย
0,81,2567,กิโลกรัม,เก้าเลี้ยว
0,82,2567,กิโลกรัม,ตาคลี
0,83,2567,กิโลกรัม,ท่าตะโก
0,84,2567,กิโลกรัม,ไพศาลี
0,85,2567,กิโลกรัม,พยุหะคีรี
0,86,2567,กิโลกรัม,ลาดยาว
0,87,2567,กิโลกรัม,ตากฟ้า
0,88,2567,กิโลกรัม,แม่วงก์
0,89,2567,กิโลกรัม,แม่เปิน
"24,390,000",90,2567,กิโลกรัม,ชุมตาบง
