เป็นผู้ประกันตนในระบบ,_id,ปี,เป็นผู้ประกันตนมาตรา 40,เป็นผู้ประกันตนมาตรา 39,จังหวัด,เป็นผู้ประกันตนมาตรา 33
186,1,2565,180,4,กระบี่,2
0,2,2565,,,กรุงเทพมหานคร,
324,3,2565,290,26,กาญจนบุรี,8
250,4,2565,247,2,กาฬสินธุ์,1
463,5,2565,444,8,กำแพงเพชร,11
558,6,2565,509,30,ขอนแก่น,19
171,7,2565,150,13,จันทบุรี,8
328,8,2565,248,42,ฉะเชิงเทรา,38
584,9,2565,286,181,ชลบุรี,117
228,10,2565,223,4,ชัยนาท,1
410,11,2565,391,11,ชัยภูมิ,8
166,12,2565,154,7,ชุมพร,5
385,13,2565,333,40,เชียงราย,12
1165,14,2565,760,326,เชียงใหม่,79
346,15,2565,331,7,ตรัง,8
165,16,2565,156,5,ตราด,4
135,17,2565,124,9,ตาก,2
102,18,2565,74,19,นครนายก,9
370,19,2565,257,80,นครปฐม,33
120,20,2565,115,5,นครพนม,0
423,21,2565,338,41,นครราชสีมา,44
411,22,2565,389,17,นครศรีธรรมราช,5
387,23,2565,355,16,นครสวรรค์,16
613,24,2565,312,216,นนทบุรี,85
121,25,2565,114,6,นราธิวาส,1
253,26,2565,243,5,น่าน,5
81,27,2565,79,1,บึงกาฬ,1
317,28,2565,303,9,บุรีรัมย์,5
711,29,2565,345,284,ปทุมธานี,82
153,30,2565,141,9,ประจวบคีรีขันธ์,3
141,31,2565,116,14,ปราจีนบุรี,11
125,32,2565,116,3,ปัตตานี,6
278,33,2565,201,77,พระนครศรีอยุธยา,null
1472,34,2565,1463,6,พะเยา,3
253,35,2565,247,3,พังงา,3
327,36,2565,325,1,พัทลุง,1
271,37,2565,259,10,พิจิตร,2
476,38,2565,453,16,พิษณุโลก,7
154,39,2565,136,12,เพชรบุรี,6
274,40,2565,252,12,เพชรบูรณ์,10
376,41,2565,364,8,แพร่,4
285,42,2565,217,40,ภูเก็ต,28
219,43,2565,210,7,มหาสารคาม,2
241,44,2565,234,2,มุกดาหาร,5
171,45,2565,167,4,แม่ฮ่องสอน,0
356,46,2565,353,3,ยโสธร,0
98,47,2565,93,3,ยะลา,2
267,48,2565,248,13,ร้อยเอ็ด,6
172,49,2565,170,1,ระนอง,1
348,50,2565,218,72,ระยอง,58
320,51,2565,274,33,ราชบุรี,13
211,52,2565,189,18,ลพบุรี,4
447,53,2565,418,22,ลำปาง,7
566,54,2565,510,47,ลำพูน,9
395,55,2565,385,6,เลย,4
426,56,2565,413,6,ศรีสะเกษ,7
326,57,2565,314,8,สกลนคร,4
326,58,2565,257,49,สงขลา,20
148,59,2565,145,0,สตูล,3
807,60,2565,431,272,สมุทรปราการ,104
135,61,2565,119,7,สมุทรสงคราม,9
340,62,2565,207,81,สมุทรสาคร,52
191,63,2565,183,5,สระแก้ว,3
309,64,2565,251,31,สระบุรี,27
155,65,2565,145,8,สิงห์บุรี,2
355,66,2565,342,10,สุโขทัย,3
249,67,2565,230,12,สุพรรณบุรี,7
353,68,2565,320,20,สุราษฎร์ธานี,13
354,69,2565,342,9,สุรินทร์,3
179,70,2565,169,8,หนองคาย,2
196,71,2565,192,4,หนองบัวลำภู,0
120,72,2565,108,10,อ่างทอง,2
167,73,2565,158,7,อำนาจเจริญ,2
555,74,2565,527,15,อุดรธานี,13
355,75,2565,347,6,อุตรดิตถ์,2
211,76,2565,202,9,อุทัยธานี,0
372,77,2565,345,20,อุบลราชธานี,7
350,78,2566,342,9,สุรินทร์,3
