"จำนวนเกษตรกร
(ราย)","ผลผลิตรวม
(ตัน)","พื้นที่เก็บเกี่ยว
(ไร่)",ชนิดพืช,_id,"พื้นที่เพาะปลูก
(ไร่)","มูลค่ารวม
(ล้านบาท)",พ.ศ.
47371,2731352,998666,ปาล์มน้ำมัน,1,1046284,12017.95,2563
30511,111330,458148,ยางพารา,2,511836,3407.81,2563
24287,315552,196158,ทุเรียน,3,232011,31457.38,2563
11718,6861,81685,กาแฟ,4,87236,411.52,2563
17934,87504682,92731,มะพร้าว,5,98050,1518.64,2563
13503,38119,50198,มังคุด,6,50575,1851.06,2563
10209,4664,13040,ลองกอง,7,13040,98.97,2563
2098,7377,7473,กล้วยเล็บมือนาง,8,9165,55.03,2563
3402,2581,7150,หมาก,9,8975,96.11,2563
1708,18407,7521,กล้วยหอมทอง,10,7971,184.99,2563
162741,71148,1912770,รวม,11,2065143,51099.46,2563
,,,ที่มา : สำนักงานเกษตรจังหวัดชุมพร ข้อมูล ณ ปี 2563 /สำนักงานเศรษฐกิจการเกษตร,12,,,
