วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2570-12-05T00:00:00,143,GI(E) 3-738,บริษัท แอลแอลไอที (ประเทศไทย) จำกัด,143,13/05/2567,ชลบุรี
2570-12-05T00:00:00,144,GI(E) 3-739,บริษัท เอเบิล อิสเทิร์น พาเลท จำกัด,144,13/05/2567,ชลบุรี
2570-05-13T00:00:00,145,GI(E) 3-753,บริษัท โทเดนโค (ประเทศไทย) จำกัด,145,14/05/2567,ชลบุรี
2570-05-13T00:00:00,146,GI(E) 3-754,บริษัท ไอ.ที.จี. (ประเทศไทย) จำกัด,146,14/05/2567,ชลบุรี
2570-05-14T00:00:00,147,GI(E) 3-766,บริษัท เฮงหยวน โฮม เฟอร์นิชิง (ไทยแลนด์) จำกัด,147,15/05/2567,ชลบุรี
2570-05-14T00:00:00,148,GI(E) 3-767,บริษัท อีสต์ เอ็นเนอร์ยี่ เซอร์วิสเซส (ไทยแลนด์) จำกัด,148,15/05/2567,ชลบุรี
2570-05-16T00:00:00,149,GI(E) 3-771,บริษัท วาลีโอสยาม เทอร์มอลซิสเต็มส์ จำกัด,149,17/05/2567,ชลบุรี
2570-05-16T00:00:00,150,GI(E) 3-772,บริษัท คิยะ คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,150,17/05/2567,ชลบุรี
2570-05-16T00:00:00,151,GI(E) 3-773,บริษัท ซิกโนด (ประเทศไทย) จำกัด,151,17/05/2567,ชลบุรี
2570-05-16T00:00:00,152,GI(E) 3-774,บริษัท สยาม คีปเปอร์ แมนูแฟคเจอริ่ง จำกัด,152,17/05/2567,ชลบุรี
2570-05-20T00:00:00,153,GI(E) 3-779,บริษัท สกลชัยทรานสแพ็ค จำกัด,153,21/05/2567,ชลบุรี
2570-05-23T00:00:00,154,GI(E) 3-788,บริษัท เออร์ลิคอน (ประเทศไทย) จำกัด,154,24/05/2567,ชลบุรี
2570-05-23T00:00:00,155,GI(E) 3-789,บริษัท อัลไลแอนซ์ ลอนดรี้ (ประเทศไทย) จำกัด,155,24/05/2567,ชลบุรี
2570-05-26T00:00:00,156,GI(E) 3-793,บริษัท สยามแองโกลอัลลอย จำกัด,156,27/05/2567,ชลบุรี
2570-05-28T00:00:00,157,GI(E) 3-798,บริษัท มิยาเทค (ประเทศไทย) จำกัด,157,29/05/2567,ชลบุรี
2570-05-28T00:00:00,158,GI(E) 3-801,บริษัท จี้ เม่า รับเบอร์ อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,158,29/05/2567,ชลบุรี
2570-05-28T00:00:00,159,GI(E) 3-802,บริษัท โอ้ ลา ลา แพคเกจจิ้ง จำกัด,159,29/05/2567,ชลบุรี
2570-05-29T00:00:00,160,GI(E) 3-806,บริษัท เอสจีเอฟ (ไทยแลนด์) จำกัด,160,30/05/2567,ชลบุรี
2570-04-06T00:00:00,161,GI(E) 3-823,บริษัท คุสุโมะโตะ เคมิคอล (ประเทศไทย) จำกัด,161,05/06/2567,ชลบุรี
2570-05-06T00:00:00,162,GI(E) 3-830,บริษัท ฟูยิต้า ราชิ (ไทยแลนด์) จำกัด,162,06/06/2567,ชลบุรี
2570-06-13T00:00:00,163,GI(E) 3-844,บริษัท พนัส แอสเซมบลีย์ จำกัด,163,14/06/2567,ชลบุรี
2570-06-13T00:00:00,164,GI(E) 3-845,บริษัท พนัส แอสเซมบลีย์ จำกัด,164,14/06/2567,ชลบุรี
2570-06-13T00:00:00,165,GI(E) 3-854,บริษัท พีเจดับเบิ้ลยู ออโต้อีวี จำกัด (มหาชน),165,14/06/2567,ชลบุรี
2570-06-13T00:00:00,166,GI(E) 3-856,บริษัท พีแอนด์จี อีพี จำกัด,166,14/06/2567,ชลบุรี
2570-06-18T00:00:00,167,GI(E) 3-869,บริษัท สยาม แอดวานซ์ เคมีคอล จำกัด,167,19/06/2567,ชลบุรี
2570-06-18T00:00:00,168,GI(E) 3-870,บริษัท ไทเท็กซ์ เอเซีย จำกัด,168,19/06/2567,ชลบุรี
2570-06-18T00:00:00,169,GI(E) 3-874,บริษัท ไทย เอสซีที จำกัด,169,19/06/2567,ชลบุรี
2570-06-18T00:00:00,170,GI(E) 3-876,บริษัท ไทยเซชิน อี.เอ็น.เอฟ. จำกัด,170,19/06/2567,ชลบุรี
2570-06-20T00:00:00,171,GI(E) 3-883,บริษัท คิงส์ซิง ออโต้โมบายพาร์ท จำกัด,171,21/06/2567,ชลบุรี
2570-06-26T00:00:00,172,GI(E) 3-907,บริษัท มิตซูบิชิ เอลเลเวเตอร์ เอเชีย จำกัด,172,27/06/2567,ชลบุรี
2570-06-26T00:00:00,173,GI(E) 3-910,บริษัท โรงโม่หินแกรนิตไทย จำกัด,173,27/06/2567,ชลบุรี
2570-06-26T00:00:00,174,GI(E) 3-913,บริษัท ทาเคเบะ (ไทยแลนด์) จำกัด,174,27/06/2567,ชลบุรี
2570-06-27T00:00:00,175,GI(E) 3-917,บริษัท วอล์คเกอร์ เอ็กซอสท์ (ประเทศไทย) จำกัด,175,28/06/2567,ชลบุรี
