_id,ค่าข้อมูล,ปี,ที่มา,อำเภอ,หน่วยนับ,รายการ
1,93.70,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเมืองนครพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
2,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอปลาปาก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
3,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอท่าอุเทน,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
4,56.25,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอบ้านแพง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
5,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอธาตุพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
6,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเรณูนคร,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
7,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาแก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
8,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอศรีสงคราม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
9,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาหว้า,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
10,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอโพนสวรรค์,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
11,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาทม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
12,-,2561,สำนักงานเกษตรจังหวัดนครพนม,อำเภอวังยาง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
13,100.00,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเมืองนครพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
14,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอปลาปาก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
15,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอท่าอุเทน,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
16,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอบ้านแพง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
