จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
"19,868,800.00",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,บาท
"6,858,200.00",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,บาท
"6,302,450.00",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,บาท
"6,708,900",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,บาท
