ปี พ.ศ.,_id,หน่วย,ผลการประเมิน
2561,1,ระดับ,1
2562,2,ระดับ,2
2563,3,ระดับ,2
2564,4,ระดับ,2
2565,5,ระดับ,3
2566,6,ระดับ,3
2567,7,ระดับ,3
