VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
864.87,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,ชาย,พันคน,กรุงเทพมหานคร,2563
1435.16,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,หญิง,พันคน,กรุงเทพมหานคร,2563
1779.35,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,ชาย,พันคน,ภาคกลาง,2563
3319.86,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,หญิง,พันคน,ภาคกลาง,2563
1231.94,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,ชาย,พันคน,ภาคเหนือ,2563
2093.11,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,หญิง,พันคน,ภาคเหนือ,2563
2060.59,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
3596.34,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
713.59,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,ภาคใต้,2563
1458.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,ภาคใต้,2563
863.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,11,ชาย,พันคน,กรุงเทพมหานคร,2563
1460.41,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,12,หญิง,พันคน,กรุงเทพมหานคร,2563
1820.42,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,13,ชาย,พันคน,ภาคกลาง,2563
3385.32,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,14,หญิง,พันคน,ภาคกลาง,2563
1207.91,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,15,ชาย,พันคน,ภาคเหนือ,2563
2170.46,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,16,หญิง,พันคน,ภาคเหนือ,2563
1915.51,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,17,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
3585.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,18,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
724.93,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,ภาคใต้,2563
1509.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,20,หญิง,พันคน,ภาคใต้,2563
827.76,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,21,ชาย,พันคน,กรุงเทพมหานคร,2563
1418.68,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,22,หญิง,พันคน,กรุงเทพมหานคร,2563
1831.33,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,23,ชาย,พันคน,ภาคกลาง,2563
3390.12,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,24,หญิง,พันคน,ภาคกลาง,2563
1141.68,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,25,ชาย,พันคน,ภาคเหนือ,2563
2035.69,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,26,หญิง,พันคน,ภาคเหนือ,2563
