จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,ไตรมาส
41042.78,69,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 4
39049.384999999995,70,2561,ทำงานส่วนตัว,ชาย                         ,เฉลี่ย 4 ไตรมาส
44427.65,71,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 1
42193.66,72,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 2
44313.31,73,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 3
44790.77,74,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 4
43931.347499999996,75,2561,ทำงานส่วนตัว,หญิง                        ,เฉลี่ย 4 ไตรมาส
39199.06,76,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 1
41079.51,77,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 2
40901.57,78,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 3
37677.35,79,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 4
39714.372500000005,80,2561,ช่วยธุรกิจครัวเรือน,รวม,เฉลี่ย 4 ไตรมาส
16784.52,81,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 1
19643.11,82,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 2
18234.38,83,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 3
17807.78,84,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 4
18117.447500000002,85,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,เฉลี่ย 4 ไตรมาส
22414.55,86,2561,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 1
21436.39,87,2561,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 2
22667.2,88,2561,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 3
19869.57,89,2561,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 4
21596.927499999998,90,2561,ช่วยธุรกิจครัวเรือน,หญิง                        ,เฉลี่ย 4 ไตรมาส
,91,2561,การรวมกลุ่ม,รวม,ไตรมาส 1
169.73,92,2561,การรวมกลุ่ม,รวม,ไตรมาส 2
,93,2561,การรวมกลุ่ม,รวม,ไตรมาส 3
,94,2561,การรวมกลุ่ม,รวม,ไตรมาส 4
42.4325,95,2561,การรวมกลุ่ม,รวม,เฉลี่ย 4 ไตรมาส
,96,2561,การรวมกลุ่ม,ชาย                         ,ไตรมาส 1
169.73,97,2561,การรวมกลุ่ม,ชาย                         ,ไตรมาส 2
,98,2561,การรวมกลุ่ม,ชาย                         ,ไตรมาส 3
,99,2561,การรวมกลุ่ม,ชาย                         ,ไตรมาส 4
42.4325,100,2561,การรวมกลุ่ม,ชาย                         ,เฉลี่ย 4 ไตรมาส
,101,2561,การรวมกลุ่ม,หญิง                        ,ไตรมาส 1
,102,2561,การรวมกลุ่ม,หญิง                        ,ไตรมาส 2
,103,2561,การรวมกลุ่ม,หญิง                        ,ไตรมาส 3
,104,2561,การรวมกลุ่ม,หญิง                        ,ไตรมาส 4
,105,2561,การรวมกลุ่ม,หญิง                        ,เฉลี่ย 4 ไตรมาส
393577.82,106,2562,ยอดรวม,รวม,ไตรมาส 1
384788.37,107,2562,ยอดรวม,รวม,ไตรมาส 2
381671.24,108,2562,ยอดรวม,รวม,ไตรมาส 3
390716.36,109,2562,ยอดรวม,รวม,ไตรมาส 4
387688.4475,110,2562,ยอดรวม,รวม,เฉลี่ย 4 ไตรมาส
220253.89,111,2562,ยอดรวม,ชาย                         ,ไตรมาส 1
216855.94,112,2562,ยอดรวม,ชาย                         ,ไตรมาส 2
215688.06,113,2562,ยอดรวม,ชาย                         ,ไตรมาส 3
212887.18,114,2562,ยอดรวม,ชาย                         ,ไตรมาส 4
216421.26750000002,115,2562,ยอดรวม,ชาย                         ,เฉลี่ย 4 ไตรมาส
173323.93,116,2562,ยอดรวม,หญิง                        ,ไตรมาส 1
167932.43,117,2562,ยอดรวม,หญิง                        ,ไตรมาส 2
165983.18,118,2562,ยอดรวม,หญิง                        ,ไตรมาส 3
177829.18,119,2562,ยอดรวม,หญิง                        ,ไตรมาส 4
171267.18,120,2562,ยอดรวม,หญิง                        ,เฉลี่ย 4 ไตรมาส
15313.2,121,2562,นายจ้าง,รวม,ไตรมาส 1
12056.52,122,2562,นายจ้าง,รวม,ไตรมาส 2
7035.8,123,2562,นายจ้าง,รวม,ไตรมาส 3
12454.92,124,2562,นายจ้าง,รวม,ไตรมาส 4
11715.11,125,2562,นายจ้าง,รวม,เฉลี่ย 4 ไตรมาส
10606.89,126,2562,นายจ้าง,ชาย                         ,ไตรมาส 1
9433.83,127,2562,นายจ้าง,ชาย                         ,ไตรมาส 2
4488,128,2562,นายจ้าง,ชาย                         ,ไตรมาส 3
9783.08,129,2562,นายจ้าง,ชาย                         ,ไตรมาส 4
8577.95,130,2562,นายจ้าง,ชาย                         ,เฉลี่ย 4 ไตรมาส
4706.31,131,2562,นายจ้าง,หญิง                        ,ไตรมาส 1
2622.69,132,2562,นายจ้าง,หญิง                        ,ไตรมาส 2
2547.8,133,2562,นายจ้าง,หญิง                        ,ไตรมาส 3
2671.84,134,2562,นายจ้าง,หญิง                        ,ไตรมาส 4
3137.16,135,2562,นายจ้าง,หญิง                        ,เฉลี่ย 4 ไตรมาส
32305.57,136,2562,ลูกจ้างรัฐบาล,รวม,ไตรมาส 1
33981.27,137,2562,ลูกจ้างรัฐบาล,รวม,ไตรมาส 2
42006.75,138,2562,ลูกจ้างรัฐบาล,รวม,ไตรมาส 3
35760.89,139,2562,ลูกจ้างรัฐบาล,รวม,ไตรมาส 4
36013.619999999995,140,2562,ลูกจ้างรัฐบาล,รวม,เฉลี่ย 4 ไตรมาส
16428.32,141,2562,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 1
16618.03,142,2562,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 2
21005.75,143,2562,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 3
14902.72,144,2562,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 4
17238.704999999998,145,2562,ลูกจ้างรัฐบาล,ชาย                         ,เฉลี่ย 4 ไตรมาส
15877.26,146,2562,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 1
17363.23,147,2562,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 2
21001,148,2562,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 3
20858.17,149,2562,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 4
18774.915,150,2562,ลูกจ้างรัฐบาล,หญิง                        ,เฉลี่ย 4 ไตรมาส
