จำนวน,กลุ่มอายุ,_id,ปี,เพศ,จังหวัด,ประเภทแรงงาน,หน่วย
20322,15 - 19,1,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
64351,20 - 24,2,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
129340,25 - 29,3,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
204473,30 - 34,4,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
235835,35 - 39,5,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
195455,40 - 44,6,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
166927,45 - 49,7,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
137425,50 - 54,8,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
86067,55 - 59,9,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
44671,60 ขึ้นไป,10,2555,ชาย,กรุงเทพมหานคร,แรงงานในระบบ,คน
16040,15 - 19,11,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
70219,20 - 24,12,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
158649,25 - 29,13,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
257249,30 - 34,14,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
256157,35 - 39,15,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
210371,40 - 44,16,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
145659,45 - 49,17,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
115228,50 - 54,18,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
65128,55 - 59,19,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
29550,60 ขึ้นไป,20,2555,หญิง,กรุงเทพมหานคร,แรงงานในระบบ,คน
9817,15 - 19,21,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
15048,20 - 24,22,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
40946,25 - 29,23,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
80221,30 - 34,24,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
96930,35 - 39,25,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
109443,40 - 44,26,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
101040,45 - 49,27,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
98749,50 - 54,28,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
64241,55 - 59,29,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
68801,60 ขึ้นไป,30,2555,ชาย,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
7278,15 - 19,31,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
11440,20 - 24,32,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
26893,25 - 29,33,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
52517,30 - 34,34,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
88426,35 - 39,35,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
97678,40 - 44,36,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
101455,45 - 49,37,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
80074,50 - 54,38,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
50104,55 - 59,39,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
61327,60 ขึ้นไป,40,2555,หญิง,กรุงเทพมหานคร,แรงงานนอกระบบ,คน
86668,15 - 19,41,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
301731,20 - 24,42,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
382676,25 - 29,43,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
433693,30 - 34,44,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
426826,35 - 39,45,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
365332,40 - 44,46,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
303229,45 - 49,47,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
213876,50 - 54,48,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
149143,55 - 59,49,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
68902,60 ขึ้นไป,50,2555,ชาย,ภาคกลาง,แรงงานในระบบ,คน
63481,15 - 19,51,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
260745,20 - 24,52,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
387478,25 - 29,53,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
404233,30 - 34,54,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
381194,35 - 39,55,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
