มาตรา_40,มาตรา_39,_id,ปี,ระบบประกันสังคม,มาตรา_33,จังหวัด
180,4,1,2565,186,2,กระบี่
-999,-999,2,2565,0,-999,กรุงเทพมหานคร
290,26,3,2565,324,8,กาญจนบุรี
247,2,4,2565,250,1,กาฬสินธุ์
444,8,5,2565,463,11,กำแพงเพชร
509,30,6,2565,558,19,ขอนแก่น
150,13,7,2565,171,8,จันทบุรี
248,42,8,2565,328,38,ฉะเชิงเทรา
286,181,9,2565,584,117,ชลบุรี
223,4,10,2565,228,1,ชัยนาท
391,11,11,2565,410,8,ชัยภูมิ
154,7,12,2565,166,5,ชุมพร
333,40,13,2565,385,12,เชียงราย
760,326,14,2565,1165,79,เชียงใหม่
331,7,15,2565,346,8,ตรัง
156,5,16,2565,165,4,ตราด
124,9,17,2565,135,2,ตาก
74,19,18,2565,102,9,นครนายก
257,80,19,2565,370,33,นครปฐม
115,5,20,2565,120,0,นครพนม
338,41,21,2565,423,44,นครราชสีมา
389,17,22,2565,411,5,นครศรีธรรมราช
355,16,23,2565,387,16,นครสวรรค์
312,216,24,2565,613,85,นนทบุรี
114,6,25,2565,121,1,นราธิวาส
243,5,26,2565,253,5,น่าน
79,1,27,2565,81,1,บึงกาฬ
303,9,28,2565,317,5,บุรีรัมย์
345,284,29,2565,711,82,ปทุมธานี
141,9,30,2565,153,3,ประจวบคีรีขันธ์
116,14,31,2565,141,11,ปราจีนบุรี
116,3,32,2565,125,6,ปัตตานี
201,77,33,2565,278,-999,พระนครศรีอยุธยา
1463,6,34,2565,1472,3,พะเยา
247,3,35,2565,253,3,พังงา
325,1,36,2565,327,1,พัทลุง
259,10,37,2565,271,2,พิจิตร
453,16,38,2565,476,7,พิษณุโลก
136,12,39,2565,154,6,เพชรบุรี
252,12,40,2565,274,10,เพชรบูรณ์
364,8,41,2565,376,4,แพร่
217,40,42,2565,285,28,ภูเก็ต
210,7,43,2565,219,2,มหาสารคาม
234,2,44,2565,241,5,มุกดาหาร
167,4,45,2565,171,0,แม่ฮ่องสอน
353,3,46,2565,356,0,ยโสธร
93,3,47,2565,98,2,ยะลา
248,13,48,2565,267,6,ร้อยเอ็ด
170,1,49,2565,172,1,ระนอง
218,72,50,2565,348,58,ระยอง
274,33,51,2565,320,13,ราชบุรี
189,18,52,2565,211,4,ลพบุรี
418,22,53,2565,447,7,ลำปาง
510,47,54,2565,566,9,ลำพูน
385,6,55,2565,395,4,เลย
413,6,56,2565,426,7,ศรีสะเกษ
314,8,57,2565,326,4,สกลนคร
257,49,58,2565,326,20,สงขลา
145,0,59,2565,148,3,สตูล
431,272,60,2565,807,104,สมุทรปราการ
119,7,61,2565,135,9,สมุทรสงคราม
207,81,62,2565,340,52,สมุทรสาคร
183,5,63,2565,191,3,สระแก้ว
251,31,64,2565,309,27,สระบุรี
145,8,65,2565,155,2,สิงห์บุรี
342,10,66,2565,355,3,สุโขทัย
230,12,67,2565,249,7,สุพรรณบุรี
320,20,68,2565,353,13,สุราษฎร์ธานี
342,9,69,2565,354,3,สุรินทร์
169,8,70,2565,179,2,หนองคาย
192,4,71,2565,196,0,หนองบัวลำภู
108,10,72,2565,120,2,อ่างทอง
158,7,73,2565,167,2,อำนาจเจริญ
527,15,74,2565,555,13,อุดรธานี
347,6,75,2565,355,2,อุตรดิตถ์
202,9,76,2565,211,0,อุทัยธานี
345,20,77,2565,372,7,อุบลราชธานี
