มูลค่าผลผลิตรวม,ผลผลิตเฉลี่ย,_id,ปี,ผลผลิต,ราคาเฉลี่ย,พื้นที่เพาะปลูก
638.48,2344,1,2560,143158,4.46,62084
535.73,2615,2,2561,160399,3.34,63107
508.26,2819,3,2562,132293,2.95,63861
689.39,2710,4,2563,172263,4,64808
1063.4,2694,5,2564,167729,6.34,64156
