จำนวน,ชนิดของพืชไร่,_id,ปี,รายการ
183524,ข้าวโพดเลี้ยงสัตว์,1,2561,เนื้อที่เพาะปลูก (ไร่)
183010,ข้าวโพดเลี้ยงสัตว์,2,2561,เนื้อที่เก็บเกี่ยว (ไร่)
145339,ข้าวโพดเลี้ยงสัตว์,3,2561,ผลผลิต (ตัน)
794,ข้าวโพดเลี้ยงสัตว์,4,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.)
8099.5,ถั่วเขียวผิวมัน,5,2561,เนื้อที่เพาะปลูก (ไร่)
8020.5,ถั่วเขียวผิวมัน,6,2561,เนื้อที่เก็บเกี่ยว (ไร่)
1261.04,ถั่วเขียวผิวมัน,7,2561,ผลผลิต (ตัน)
157,ถั่วเขียวผิวมัน,8,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1427,ถั่วลิสง,9,2561,เนื้อที่เพาะปลูก (ไร่)
817,ถั่วลิสง,10,2561,เนื้อที่เก็บเกี่ยว (ไร่)
1630.66,ถั่วลิสง,11,2561,ผลผลิต (ตัน)
1995.91,ถั่วลิสง,12,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2180,ทานตะวัน,13,2561,เนื้อที่เพาะปลูก (ไร่)
2180,ทานตะวัน,14,2561,เนื้อที่เก็บเกี่ยว (ไร่)
341,ทานตะวัน,15,2561,ผลผลิต (ตัน)
157,ทานตะวัน,16,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.)
197,มันแกว,17,2561,เนื้อที่เพาะปลูก (ไร่)
180,มันแกว,18,2561,เนื้อที่เก็บเกี่ยว (ไร่)
950,มันแกว,19,2561,ผลผลิต (ตัน)
5277,มันแกว,20,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.)
42236,มันสำปะหลังโรงงาน,21,2561,เนื้อที่เพาะปลูก (ไร่)
41587,มันสำปะหลังโรงงาน,22,2561,เนื้อที่เก็บเกี่ยว (ไร่)
134274,มันสำปะหลังโรงงาน,23,2561,ผลผลิต (ตัน)
3229,มันสำปะหลังโรงงาน,24,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.)
109864.5,อ้อยโรงงาน,25,2561,เนื้อที่เพาะปลูก (ไร่)
109864.5,อ้อยโรงงาน,26,2561,เนื้อที่เก็บเกี่ยว (ไร่)
793441.42,อ้อยโรงงาน,27,2561,ผลผลิต (ตัน)
7222,อ้อยโรงงาน,28,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.)
23243,หญ้าเลี้ยงสัตว์,29,2561,เนื้อที่เพาะปลูก (ไร่)
23243,หญ้าเลี้ยงสัตว์,30,2561,เนื้อที่เก็บเกี่ยว (ไร่)
26682.96,หญ้าเลี้ยงสัตว์,31,2561,ผลผลิต (ตัน)
1148,หญ้าเลี้ยงสัตว์,32,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.)
195584.5,ข้าวโพดเลี้ยงสัตว์,33,2562,เนื้อที่เพาะปลูก (ไร่)
168034.5,ข้าวโพดเลี้ยงสัตว์,34,2562,เนื้อที่เก็บเกี่ยว (ไร่)
145181.81,ข้าวโพดเลี้ยงสัตว์,35,2562,ผลผลิต (ตัน)
864,ข้าวโพดเลี้ยงสัตว์,36,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.)
12752,ถั่วเขียวผิวมัน,37,2562,เนื้อที่เพาะปลูก (ไร่)
12752,ถั่วเขียวผิวมัน,38,2562,เนื้อที่เก็บเกี่ยว (ไร่)
2499.39,ถั่วเขียวผิวมัน,39,2562,ผลผลิต (ตัน)
196,ถั่วเขียวผิวมัน,40,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.)
54,ถั่วลิสง,41,2562,เนื้อที่เพาะปลูก (ไร่)
54,ถั่วลิสง,42,2562,เนื้อที่เก็บเกี่ยว (ไร่)
10.48,ถั่วลิสง,43,2562,ผลผลิต (ตัน)
194,ถั่วลิสง,44,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.)
46.75,ทานตะวัน,45,2562,เนื้อที่เพาะปลูก (ไร่)
46.75,ทานตะวัน,46,2562,เนื้อที่เก็บเกี่ยว (ไร่)
9.35,ทานตะวัน,47,2562,ผลผลิต (ตัน)
200,ทานตะวัน,48,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.)
294,มันแกว,49,2562,เนื้อที่เพาะปลูก (ไร่)
294,มันแกว,50,2562,เนื้อที่เก็บเกี่ยว (ไร่)
1415.32,มันแกว,51,2562,ผลผลิต (ตัน)
4814,มันแกว,52,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.)
38091,มันสำปะหลังโรงงาน,53,2562,เนื้อที่เพาะปลูก (ไร่)
37596,มันสำปะหลังโรงงาน,54,2562,เนื้อที่เก็บเกี่ยว (ไร่)
117148,มันสำปะหลังโรงงาน,55,2562,ผลผลิต (ตัน)
3116,มันสำปะหลังโรงงาน,56,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.)
100426,อ้อยโรงงาน,57,2562,เนื้อที่เพาะปลูก (ไร่)
79882.25,อ้อยโรงงาน,58,2562,เนื้อที่เก็บเกี่ยว (ไร่)
775257.24,อ้อยโรงงาน,59,2562,ผลผลิต (ตัน)
9705,อ้อยโรงงาน,60,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.)
81104,หญ้าเลี้ยงสัตว์,61,2562,เนื้อที่เพาะปลูก (ไร่)
81104,หญ้าเลี้ยงสัตว์,62,2562,เนื้อที่เก็บเกี่ยว (ไร่)
125711.2,หญ้าเลี้ยงสัตว์,63,2562,ผลผลิต (ตัน)
1550,หญ้าเลี้ยงสัตว์,64,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.)
171754,ข้าวโพดเลี้ยงสัตว์,65,2563,เนื้อที่เพาะปลูก (ไร่)
170087,ข้าวโพดเลี้ยงสัตว์,66,2563,เนื้อที่เก็บเกี่ยว (ไร่)
126666,ข้าวโพดเลี้ยงสัตว์,67,2563,ผลผลิต (ตัน)
744.71,ข้าวโพดเลี้ยงสัตว์,68,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.)
12752,ถั่วเขียวผิวมัน,69,2563,เนื้อที่เพาะปลูก (ไร่)
12752,ถั่วเขียวผิวมัน,70,2563,เนื้อที่เก็บเกี่ยว (ไร่)
2466.61936,ถั่วเขียวผิวมัน,71,2563,ผลผลิต (ตัน)
193.43,ถั่วเขียวผิวมัน,72,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.)
419,ถั่วลิสง,73,2563,เนื้อที่เพาะปลูก (ไร่)
419,ถั่วลิสง,74,2563,เนื้อที่เก็บเกี่ยว (ไร่)
81.48293,ถั่วลิสง,75,2563,ผลผลิต (ตัน)
194.47,ถั่วลิสง,76,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.)
46.75,ทานตะวัน,77,2563,เนื้อที่เพาะปลูก (ไร่)
46.75,ทานตะวัน,78,2563,เนื้อที่เก็บเกี่ยว (ไร่)
9.35,ทานตะวัน,79,2563,ผลผลิต (ตัน)
200,ทานตะวัน,80,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.)
294,มันแกว,81,2563,เนื้อที่เพาะปลูก (ไร่)
294,มันแกว,82,2563,เนื้อที่เก็บเกี่ยว (ไร่)
1415.51004,มันแกว,83,2563,ผลผลิต (ตัน)
