ที่มา,เนื้อที่เพาะปลูก,_id,ชื่อชุดข้อมูล,ปี,เนื้อที่เก็บเกี่ยว,หน่วยวัด,พืช
สำนักงานเกษตรจังหวัดเพชรบูรณ์,1241852,1,ผลผลิตทางการเกษตรด้านพืช,2564,1241544,ไร่,ข้าวนาปี
สำนักงานเกษตรจังหวัดเพชรบูรณ์,52242.4,2,ผลผลิตทางการเกษตรด้านพืช,2564,52242.4,ไร่,ข้าวนาปรัง
สำนักงานเกษตรจังหวัดเพชรบูรณ์,744820.79,3,ผลผลิตทางการเกษตรด้านพืช,2564,743610,ไร่,ข้าวโพดเลี้ยงสัตว์
สำนักงานเกษตรจังหวัดเพชรบูรณ์,172498.62,4,ผลผลิตทางการเกษตรด้านพืช,2564,120749,ไร่,อ้อย
สำนักงานเกษตรจังหวัดเพชรบูรณ์,109849,5,ผลผลิตทางการเกษตรด้านพืช,2564,105485,ไร่,มะขามหวาน
สำนักงานเกษตรจังหวัดเพชรบูรณ์,1230112.49,6,ผลผลิตทางการเกษตรด้านพืช,2565,1227423.15,ไร่,ข้าวนาปี
สำนักงานเกษตรจังหวัดเพชรบูรณ์,36876,7,ผลผลิตทางการเกษตรด้านพืช,2565,36876,ไร่,ข้าวนาปรัง
สำนักงานเกษตรจังหวัดเพชรบูรณ์,711295,8,ผลผลิตทางการเกษตรด้านพืช,2565,668735,ไร่,ข้าวโพดเลี้ยงสัตว์
สำนักงานเกษตรจังหวัดเพชรบูรณ์,180994.71,9,ผลผลิตทางการเกษตรด้านพืช,2565,150225.6,ไร่,อ้อย
สำนักงานเกษตรจังหวัดเพชรบูรณ์,96707,10,ผลผลิตทางการเกษตรด้านพืช,2565,81868,ไร่,มะขามหวาน
