จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
21.0,1,2566,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
27.7,2,2566,ประถมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
33.8,3,2566,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
17.5,4,2566,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 1,ร้อยละ
19.6,5,2566,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
27.6,6,2566,ประถมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
33.6,7,2566,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
19.2,8,2566,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 2,ร้อยละ
22.6,9,2566,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
24.9,10,2566,ประถมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
34.7,11,2566,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
17.8,12,2566,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 3,ร้อยละ
20.8,13,2566,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 4,ร้อยละ
25.6,14,2566,ประถมศึกษา,ระดับการศึกษา ไตรมาส 4,ร้อยละ
35.7,15,2566,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 4,ร้อยละ
17.9,16,2566,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 4,ร้อยละ
16.6,17,2567,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
30.0,18,2567,ประถมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
34.6,19,2566,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
18.8,20,2567,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 1,ร้อยละ
17.1,21,2567,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
28.4,22,2567,ประถมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
34.3,23,2567,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
20.2,24,2567,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 2,ร้อยละ
